,year,level_norm,city,count
1,1964,0.0,Adak,2
2,1965,51.9,Adak,2
3,1966,44.4,Adak,2
4,1967,30.8,Adak,2
5,1968,29.7,Adak,2
6,1969,59.0,Adak,2
7,1970,47.3,Adak,2
8,1971,12.0,Adak,2
9,1972,-5.7,Adak,2
10,1973,1.2,Adak,2
11,1974,47.4,Adak,2
12,1975,-7.5,Adak,2
13,1976,-3.5,Adak,2
14,1977,55.7,Adak,2
15,1978,24.4,Adak,2
16,1979,-24.2,Adak,2
17,1980,-6.8,Adak,2
18,1981,15.0,Adak,2
19,1982,-21.4,Adak,2
20,1983,24.7,Adak,2
21,1984,-1.8,Adak,2
22,1985,-26.9,Adak,2
23,1986,36.5,Adak,2
24,1987,54.4,Adak,2
25,1988,58.0,Adak,2
26,1989,-25.6,Adak,2
27,1990,-31.5,Adak,2
28,1991,5.5,Adak,2
29,1992,10.6,Adak,2
30,1993,20.2,Adak,2
31,1994,-36.6,Adak,2
32,1995,-4.0,Adak,2
33,1996,-28.2,Adak,2
34,1997,28.5,Adak,2
35,1998,14.1,Adak,2
36,1999,-65.1,Adak,2
37,2000,-32.2,Adak,2
38,2001,-58.2,Adak,2
39,2002,-59.4,Adak,2
40,2003,-45.3,Adak,2
41,2004,-41.9,Adak,2
42,2005,-22.6,Adak,2
43,2006,-86.6,Adak,2
44,2007,-71.0,Adak,2
45,2008,-96.7,Adak,2
46,2009,-68.4,Adak,2
47,2010,-71.2,Adak,2
48,2011,-63.6,Adak,2
49,2012,-123.2,Adak,2
50,2013,-114.3,Adak,2
51,2014,-26.9,Adak,2
