,year,level_norm,city,count
1,1964,0.0,Charleston,6
2,1965,1.9,Charleston,6
3,1966,34.1,Charleston,6
4,1967,36.4,Charleston,6
5,1968,20.9,Charleston,6
6,1969,53.7,Charleston,6
7,1970,60.2,Charleston,6
8,1971,68.1,Charleston,6
9,1972,105.8,Charleston,6
10,1973,147.2,Charleston,6
11,1974,99.5,Charleston,6
12,1975,118.3,Charleston,6
13,1976,41.9,Charleston,6
14,1977,54.3,Charleston,6
15,1978,72.0,Charleston,6
16,1979,52.4,Charleston,6
17,1980,65.3,Charleston,6
18,1981,39.2,Charleston,6
19,1982,76.5,Charleston,6
20,1983,142.9,Charleston,6
21,1984,113.9,Charleston,6
22,1985,104.6,Charleston,6
23,1986,124.0,Charleston,6
24,1987,104.1,Charleston,6
25,1988,68.8,Charleston,6
26,1989,68.2,Charleston,6
27,1990,90.3,Charleston,6
28,1991,170.4,Charleston,6
29,1992,148.7,Charleston,6
30,1993,140.6,Charleston,6
31,1994,130.4,Charleston,6
32,1995,184.6,Charleston,6
33,1996,98.8,Charleston,6
34,1997,157.0,Charleston,6
35,1998,128.1,Charleston,6
36,1999,198.2,Charleston,6
37,2000,168.2,Charleston,6
38,2001,133.7,Charleston,6
39,2002,149.4,Charleston,6
40,2003,129.9,Charleston,6
41,2004,112.9,Charleston,6
42,2005,183.5,Charleston,6
43,2006,138.6,Charleston,6
44,2007,169.8,Charleston,6
45,2008,145.6,Charleston,6
46,2009,184.0,Charleston,6
47,2010,159.4,Charleston,6
48,2011,159.5,Charleston,6
49,2012,202.5,Charleston,6
50,2013,202.5,Charleston,6
51,2014,259.9,Charleston,6
