,year,level_norm,city,count
1,1964,0.0,Eastport,9
2,1965,34.2,Eastport,9
3,1966,45.9,Eastport,9
4,1967,34.9,Eastport,9
5,1968,49.6,Eastport,9
6,1969,34.9,Eastport,9
7,1970,93.9,Eastport,9
8,1971,70.1,Eastport,9
9,1972,76.3,Eastport,9
10,1973,33.8,Eastport,9
11,1974,15.1,Eastport,9
12,1975,37.8,Eastport,9
13,1976,151.0,Eastport,9
14,1977,54.7,Eastport,9
15,1978,41.7,Eastport,9
16,1979,8.3,Eastport,9
17,1980,4.3,Eastport,9
18,1981,34.4,Eastport,9
19,1982,9.5,Eastport,9
20,1983,71.4,Eastport,9
21,1984,40.9,Eastport,9
22,1985,35.4,Eastport,9
23,1986,33.4,Eastport,9
24,1987,39.2,Eastport,9
25,1988,24.6,Eastport,9
26,1989,5.8,Eastport,9
27,1990,-2.7,Eastport,9
28,1991,44.2,Eastport,9
29,1992,32.9,Eastport,9
30,1993,38.7,Eastport,9
31,1994,6.2,Eastport,9
32,1995,41.4,Eastport,9
33,1996,85.7,Eastport,9
34,1997,82.6,Eastport,9
35,1998,75.6,Eastport,9
36,1999,41.7,Eastport,9
37,2000,45.6,Eastport,9
38,2001,45.9,Eastport,9
39,2002,41.7,Eastport,9
40,2003,55.4,Eastport,9
41,2004,46.1,Eastport,9
42,2005,93.9,Eastport,9
43,2006,91.0,Eastport,9
44,2007,57.3,Eastport,9
45,2008,65.4,Eastport,9
46,2009,102.4,Eastport,9
47,2010,170.2,Eastport,9
48,2011,145.7,Eastport,9
49,2012,121.3,Eastport,9
50,2013,117.3,Eastport,9
51,2014,103.8,Eastport,9
