,year,level_norm,city,count
1,1985,0.0,Fernandina Beach,10
2,1986,12.8,Fernandina Beach,10
3,1987,-5.5,Fernandina Beach,10
4,1988,-24.8,Fernandina Beach,10
5,1989,-49.2,Fernandina Beach,10
6,1990,-7.4,Fernandina Beach,10
7,1991,68.8,Fernandina Beach,10
8,1992,51.2,Fernandina Beach,10
9,1993,19.0,Fernandina Beach,10
10,1994,62.9,Fernandina Beach,10
11,1995,8.2,Fernandina Beach,10
12,1996,-95.5,Fernandina Beach,10
13,1997,40.7,Fernandina Beach,10
14,1998,4.4,Fernandina Beach,10
15,1999,61.1,Fernandina Beach,10
16,2000,25.0,Fernandina Beach,10
17,2001,12.8,Fernandina Beach,10
18,2002,29.9,Fernandina Beach,10
19,2003,13.2,Fernandina Beach,10
20,2004,-8.9,Fernandina Beach,10
21,2005,69.5,Fernandina Beach,10
22,2006,-101.9,Fernandina Beach,10
23,2007,73.1,Fernandina Beach,10
24,2008,11.6,Fernandina Beach,10
25,2009,36.8,Fernandina Beach,10
26,2010,1.4,Fernandina Beach,10
27,2011,3.1,Fernandina Beach,10
28,2012,55.4,Fernandina Beach,10
29,2013,62.0,Fernandina Beach,10
30,2014,111.8,Fernandina Beach,10
