,year,level_norm,city,count
1,1964,0.0,Fort Pulaski,11
2,1965,2.8,Fort Pulaski,11
3,1966,30.2,Fort Pulaski,11
4,1967,28.6,Fort Pulaski,11
5,1968,-1.8,Fort Pulaski,11
6,1969,40.1,Fort Pulaski,11
7,1970,23.5,Fort Pulaski,11
8,1971,37.3,Fort Pulaski,11
9,1972,86.7,Fort Pulaski,11
10,1973,125.3,Fort Pulaski,11
11,1974,-95.4,Fort Pulaski,11
12,1975,106.3,Fort Pulaski,11
13,1976,26.1,Fort Pulaski,11
14,1977,48.9,Fort Pulaski,11
15,1978,53.1,Fort Pulaski,11
16,1979,74.6,Fort Pulaski,11
17,1980,60.2,Fort Pulaski,11
18,1981,31.5,Fort Pulaski,11
19,1982,62.6,Fort Pulaski,11
20,1983,127.4,Fort Pulaski,11
21,1984,88.8,Fort Pulaski,11
22,1985,93.1,Fort Pulaski,11
23,1986,116.1,Fort Pulaski,11
24,1987,88.5,Fort Pulaski,11
25,1988,60.1,Fort Pulaski,11
26,1989,54.2,Fort Pulaski,11
27,1990,80.2,Fort Pulaski,11
28,1991,141.3,Fort Pulaski,11
29,1992,121.5,Fort Pulaski,11
30,1993,116.6,Fort Pulaski,11
31,1994,96.1,Fort Pulaski,11
32,1995,188.5,Fort Pulaski,11
33,1996,89.4,Fort Pulaski,11
34,1997,150.7,Fort Pulaski,11
35,1998,126.8,Fort Pulaski,11
36,1999,182.2,Fort Pulaski,11
37,2000,142.0,Fort Pulaski,11
38,2001,119.4,Fort Pulaski,11
39,2002,138.9,Fort Pulaski,11
40,2003,113.6,Fort Pulaski,11
41,2004,102.0,Fort Pulaski,11
42,2005,186.4,Fort Pulaski,11
43,2006,120.9,Fort Pulaski,11
44,2007,168.4,Fort Pulaski,11
45,2008,134.8,Fort Pulaski,11
46,2009,171.0,Fort Pulaski,11
47,2010,141.4,Fort Pulaski,11
48,2011,150.5,Fort Pulaski,11
49,2012,183.5,Fort Pulaski,11
50,2013,211.4,Fort Pulaski,11
51,2014,243.0,Fort Pulaski,11
