,year,level_norm,city,count
1,1964,0.0,Galveston (Pier 21),12
2,1965,72.5,Galveston (Pier 21),12
3,1966,45.1,Galveston (Pier 21),12
4,1967,91.2,Galveston (Pier 21),12
5,1968,73.5,Galveston (Pier 21),12
6,1969,89.1,Galveston (Pier 21),12
7,1970,83.2,Galveston (Pier 21),12
8,1971,96.0,Galveston (Pier 21),12
9,1973,217.7,Galveston (Pier 21),12
10,1974,189.4,Galveston (Pier 21),12
11,1975,245.9,Galveston (Pier 21),12
12,1976,123.0,Galveston (Pier 21),12
13,1977,166.7,Galveston (Pier 21),12
14,1978,155.9,Galveston (Pier 21),12
15,1979,227.7,Galveston (Pier 21),12
16,1980,156.9,Galveston (Pier 21),12
17,1981,174.4,Galveston (Pier 21),12
18,1982,193.8,Galveston (Pier 21),12
19,1983,260.9,Galveston (Pier 21),12
20,1984,177.2,Galveston (Pier 21),12
21,1985,233.3,Galveston (Pier 21),12
22,1986,246.7,Galveston (Pier 21),12
23,1987,209.3,Galveston (Pier 21),12
24,1988,194.2,Galveston (Pier 21),12
25,1989,231.2,Galveston (Pier 21),12
26,1990,292.9,Galveston (Pier 21),12
27,1991,324.2,Galveston (Pier 21),12
28,1992,289.8,Galveston (Pier 21),12
29,1993,275.9,Galveston (Pier 21),12
30,1994,293.1,Galveston (Pier 21),12
31,1995,312.3,Galveston (Pier 21),12
32,1996,242.6,Galveston (Pier 21),12
33,1997,288.2,Galveston (Pier 21),12
34,1998,334.7,Galveston (Pier 21),12
35,1999,301.4,Galveston (Pier 21),12
36,2000,267.9,Galveston (Pier 21),12
37,2001,304.8,Galveston (Pier 21),12
38,2002,345.5,Galveston (Pier 21),12
39,2003,319.2,Galveston (Pier 21),12
40,2004,332.7,Galveston (Pier 21),12
41,2005,324.2,Galveston (Pier 21),12
42,2006,255.4,Galveston (Pier 21),12
43,2007,354.8,Galveston (Pier 21),12
44,2008,339.6,Galveston (Pier 21),12
45,2009,320.8,Galveston (Pier 21),12
46,2010,369.2,Galveston (Pier 21),12
47,2011,318.2,Galveston (Pier 21),12
48,2012,383.3,Galveston (Pier 21),12
49,2013,389.6,Galveston (Pier 21),12
50,2014,371.3,Galveston (Pier 21),12
