,year,level_norm,city,count
1,1964,0.0,Johnston Is.,15
2,1965,-73.0,Johnston Is.,15
3,1966,-15.7,Johnston Is.,15
4,1967,-62.9,Johnston Is.,15
5,1968,-71.8,Johnston Is.,15
6,1969,-24.5,Johnston Is.,15
7,1970,24.0,Johnston Is.,15
8,1971,-36.8,Johnston Is.,15
9,1972,-89.1,Johnston Is.,15
10,1973,-62.4,Johnston Is.,15
11,1974,-44.2,Johnston Is.,15
12,1975,-20.0,Johnston Is.,15
13,1976,-92.8,Johnston Is.,15
14,1977,-35.5,Johnston Is.,15
15,1978,-59.7,Johnston Is.,15
16,1979,-71.4,Johnston Is.,15
17,1980,-7.6,Johnston Is.,15
18,1981,48.4,Johnston Is.,15
19,1982,-73.1,Johnston Is.,15
20,1983,-26.9,Johnston Is.,15
21,1984,26.8,Johnston Is.,15
22,1985,-68.4,Johnston Is.,15
23,1986,-73.4,Johnston Is.,15
24,1987,-39.2,Johnston Is.,15
25,1988,31.1,Johnston Is.,15
26,1989,-58.8,Johnston Is.,15
27,1990,-54.5,Johnston Is.,15
28,1991,-66.1,Johnston Is.,15
29,1992,10.6,Johnston Is.,15
30,1993,-27.6,Johnston Is.,15
31,1994,-19.0,Johnston Is.,15
32,1995,-18.8,Johnston Is.,15
33,1996,22.6,Johnston Is.,15
34,1997,-25.1,Johnston Is.,15
35,1998,-14.0,Johnston Is.,15
36,1999,20.6,Johnston Is.,15
37,2000,-1.8,Johnston Is.,15
38,2001,16.0,Johnston Is.,15
39,2002,-19.2,Johnston Is.,15
40,2003,41.3,Johnston Is.,15
41,2004,-5.6,Johnston Is.,15
42,2008,22.7,Johnston Is.,15
43,2009,-38.5,Johnston Is.,15
44,2010,42.3,Johnston Is.,15
45,2011,18.4,Johnston Is.,15
46,2012,3.5,Johnston Is.,15
47,2013,46.0,Johnston Is.,15
48,2014,-32.7,Johnston Is.,15
