,year,level_norm,city,count
1,1964,0.0,Kahului Harbor,16
2,1965,-8.8,Kahului Harbor,16
3,1966,-0.9,Kahului Harbor,16
4,1967,-35.9,Kahului Harbor,16
5,1968,19.6,Kahului Harbor,16
6,1969,22.5,Kahului Harbor,16
7,1970,-31.1,Kahului Harbor,16
8,1971,-35.5,Kahului Harbor,16
9,1972,-42.2,Kahului Harbor,16
10,1973,-5.9,Kahului Harbor,16
11,1974,31.7,Kahului Harbor,16
12,1975,-25.8,Kahului Harbor,16
13,1976,38.9,Kahului Harbor,16
14,1977,16.2,Kahului Harbor,16
15,1978,60.9,Kahului Harbor,16
16,1979,26.2,Kahului Harbor,16
17,1980,57.6,Kahului Harbor,16
18,1981,81.8,Kahului Harbor,16
19,1982,4.9,Kahului Harbor,16
20,1983,17.4,Kahului Harbor,16
21,1984,58.8,Kahului Harbor,16
22,1985,31.3,Kahului Harbor,16
23,1986,-25.3,Kahului Harbor,16
24,1987,34.9,Kahului Harbor,16
25,1988,101.0,Kahului Harbor,16
26,1989,33.1,Kahului Harbor,16
27,1990,-16.3,Kahului Harbor,16
28,1991,19.2,Kahului Harbor,16
29,1992,78.2,Kahului Harbor,16
30,1993,63.2,Kahului Harbor,16
31,1994,37.8,Kahului Harbor,16
32,1995,96.8,Kahului Harbor,16
33,1996,97.3,Kahului Harbor,16
34,1997,73.7,Kahului Harbor,16
35,1998,13.1,Kahului Harbor,16
36,1999,35.6,Kahului Harbor,16
37,2000,8.1,Kahului Harbor,16
38,2001,48.4,Kahului Harbor,16
39,2002,37.6,Kahului Harbor,16
40,2003,114.1,Kahului Harbor,16
41,2004,119.3,Kahului Harbor,16
42,2005,90.2,Kahului Harbor,16
43,2006,102.5,Kahului Harbor,16
44,2007,72.5,Kahului Harbor,16
45,2008,71.0,Kahului Harbor,16
46,2009,23.2,Kahului Harbor,16
47,2010,53.0,Kahului Harbor,16
48,2011,63.5,Kahului Harbor,16
49,2012,38.2,Kahului Harbor,16
50,2013,59.6,Kahului Harbor,16
51,2014,93.7,Kahului Harbor,16
