,year,level_norm,city,count
1,1965,0.0,Ketchikan,17
2,1966,97.1,Ketchikan,17
3,1967,117.7,Ketchikan,17
4,1968,206.0,Ketchikan,17
5,1969,84.8,Ketchikan,17
6,1970,53.8,Ketchikan,17
7,1971,16.8,Ketchikan,17
8,1972,22.7,Ketchikan,17
9,1973,13.2,Ketchikan,17
10,1974,37.7,Ketchikan,17
11,1975,15.9,Ketchikan,17
12,1976,88.8,Ketchikan,17
13,1977,72.7,Ketchikan,17
14,1978,36.4,Ketchikan,17
15,1979,40.1,Ketchikan,17
16,1980,77.7,Ketchikan,17
17,1981,103.9,Ketchikan,17
18,1982,54.1,Ketchikan,17
19,1983,149.2,Ketchikan,17
20,1984,104.1,Ketchikan,17
21,1985,-18.5,Ketchikan,17
22,1986,61.3,Ketchikan,17
23,1987,102.5,Ketchikan,17
24,1988,66.6,Ketchikan,17
25,1989,0.200000000001,Ketchikan,17
26,1990,34.3,Ketchikan,17
27,1991,50.7,Ketchikan,17
28,1992,115.4,Ketchikan,17
29,1993,46.9,Ketchikan,17
30,1994,61.7,Ketchikan,17
31,1995,34.3,Ketchikan,17
32,1996,26.9,Ketchikan,17
33,1997,101.7,Ketchikan,17
34,1998,59.0,Ketchikan,17
35,1999,45.8,Ketchikan,17
36,2000,15.8,Ketchikan,17
37,2001,34.5,Ketchikan,17
38,2002,1.4,Ketchikan,17
39,2003,65.4,Ketchikan,17
40,2004,33.5,Ketchikan,17
41,2005,77.8,Ketchikan,17
42,2006,46.1,Ketchikan,17
43,2007,74.4,Ketchikan,17
44,2008,33.7,Ketchikan,17
45,2009,8.2,Ketchikan,17
46,2010,68.8,Ketchikan,17
47,2011,35.7,Ketchikan,17
48,2012,55.7,Ketchikan,17
49,2013,-46.1,Ketchikan,17
50,2014,6.5,Ketchikan,17
