,year,level_norm,city,count
1,1964,0.0,Key West,18
2,1965,23.3,Key West,18
3,1966,60.2,Key West,18
4,1967,59.2,Key West,18
5,1968,29.8,Key West,18
6,1969,48.5,Key West,18
7,1970,50.1,Key West,18
8,1971,51.9,Key West,18
9,1972,94.4,Key West,18
10,1973,134.0,Key West,18
11,1974,95.3,Key West,18
12,1975,107.9,Key West,18
13,1976,46.6,Key West,18
14,1977,71.9,Key West,18
15,1978,92.1,Key West,18
16,1979,92.0,Key West,18
17,1980,97.1,Key West,18
18,1981,92.0,Key West,18
19,1982,103.7,Key West,18
20,1983,91.2,Key West,18
21,1984,105.7,Key West,18
22,1985,109.1,Key West,18
23,1986,144.7,Key West,18
24,1987,119.1,Key West,18
25,1988,100.3,Key West,18
26,1989,83.3,Key West,18
27,1990,100.1,Key West,18
28,1991,164.7,Key West,18
29,1992,148.5,Key West,18
30,1993,140.3,Key West,18
31,1994,141.2,Key West,18
32,1995,166.8,Key West,18
33,1996,85.6,Key West,18
34,1997,127.9,Key West,18
35,1998,123.4,Key West,18
36,1999,176.6,Key West,18
37,2000,155.3,Key West,18
38,2001,117.2,Key West,18
39,2002,151.0,Key West,18
40,2003,136.0,Key West,18
41,2004,133.5,Key West,18
42,2005,160.8,Key West,18
43,2006,143.5,Key West,18
44,2007,176.2,Key West,18
45,2008,179.4,Key West,18
46,2009,171.8,Key West,18
47,2010,165.5,Key West,18
48,2011,160.7,Key West,18
49,2012,205.1,Key West,18
50,2013,215.5,Key West,18
51,2014,229.5,Key West,18
