,year,level_norm,city,count
1,1964,0.0,Lewes,20
2,1965,5.3,Lewes,20
3,1966,-3.6,Lewes,20
4,1967,25.6,Lewes,20
5,1968,-16.8,Lewes,20
6,1969,87.4,Lewes,20
7,1970,85.4,Lewes,20
8,1971,76.2,Lewes,20
9,1972,115.5,Lewes,20
10,1973,136.6,Lewes,20
11,1974,57.4,Lewes,20
12,1975,97.8,Lewes,20
13,1976,22.1,Lewes,20
14,1977,4.8,Lewes,20
15,1978,70.7,Lewes,20
16,1979,51.9,Lewes,20
17,1980,44.1,Lewes,20
18,1981,46.6,Lewes,20
19,1982,68.0,Lewes,20
20,1983,147.1,Lewes,20
21,1984,122.9,Lewes,20
22,1985,81.6,Lewes,20
23,1986,92.1,Lewes,20
24,1987,137.8,Lewes,20
25,1988,61.9,Lewes,20
26,1989,75.1,Lewes,20
27,1990,59.2,Lewes,20
28,1991,110.3,Lewes,20
29,1992,124.8,Lewes,20
30,1993,137.0,Lewes,20
31,1994,91.2,Lewes,20
32,1995,110.1,Lewes,20
33,1996,171.2,Lewes,20
34,1997,161.2,Lewes,20
35,1998,202.7,Lewes,20
36,1999,156.5,Lewes,20
37,2000,128.5,Lewes,20
38,2001,137.0,Lewes,20
39,2002,120.2,Lewes,20
40,2003,162.4,Lewes,20
41,2004,157.6,Lewes,20
42,2005,217.3,Lewes,20
43,2006,189.4,Lewes,20
44,2007,142.5,Lewes,20
45,2008,174.2,Lewes,20
46,2009,231.7,Lewes,20
47,2010,245.4,Lewes,20
48,2011,242.4,Lewes,20
49,2012,229.6,Lewes,20
50,2013,202.3,Lewes,20
51,2014,222.4,Lewes,20
