,year,level_norm,city,count
1,1964,0.0,Los Angeles,21
2,1965,54.9,Los Angeles,21
3,1966,46.8,Los Angeles,21
4,1967,33.5,Los Angeles,21
5,1968,29.2,Los Angeles,21
6,1969,54.9,Los Angeles,21
7,1970,4.0,Los Angeles,21
8,1971,18.1,Los Angeles,21
9,1972,67.6,Los Angeles,21
10,1973,23.5,Los Angeles,21
11,1974,19.4,Los Angeles,21
12,1975,1.3,Los Angeles,21
13,1976,61.3,Los Angeles,21
14,1977,48.6,Los Angeles,21
15,1978,72.3,Los Angeles,21
16,1979,59.6,Los Angeles,21
17,1980,58.2,Los Angeles,21
18,1981,45.6,Los Angeles,21
19,1982,81.0,Los Angeles,21
20,1983,141.1,Los Angeles,21
21,1984,86.9,Los Angeles,21
22,1985,38.1,Los Angeles,21
23,1986,54.6,Los Angeles,21
24,1987,69.4,Los Angeles,21
25,1988,9.0,Los Angeles,21
26,1989,20.9,Los Angeles,21
27,1990,55.8,Los Angeles,21
28,1991,61.5,Los Angeles,21
29,1992,129.9,Los Angeles,21
30,1993,115.1,Los Angeles,21
31,1994,81.5,Los Angeles,21
32,1995,74.0,Los Angeles,21
33,1996,54.3,Los Angeles,21
34,1997,149.2,Los Angeles,21
35,1998,93.7,Los Angeles,21
36,1999,22.4,Los Angeles,21
37,2000,42.2,Los Angeles,21
38,2001,56.6,Los Angeles,21
39,2002,60.1,Los Angeles,21
40,2003,74.7,Los Angeles,21
41,2004,89.4,Los Angeles,21
42,2005,83.2,Los Angeles,21
43,2006,82.2,Los Angeles,21
44,2007,47.4,Los Angeles,21
45,2008,87.1,Los Angeles,21
46,2009,97.9,Los Angeles,21
47,2010,75.9,Los Angeles,21
48,2011,69.4,Los Angeles,21
49,2012,89.1,Los Angeles,21
50,2013,84.5,Los Angeles,21
51,2014,151.9,Los Angeles,21
