,year,level_norm,city,count
1,1964,0.0,Montauk,24
2,1965,15.1,Montauk,24
3,1966,23.5,Montauk,24
4,1967,50.4,Montauk,24
5,1968,41.3,Montauk,24
6,1969,73.6,Montauk,24
7,1970,67.0,Montauk,24
8,1971,92.0,Montauk,24
9,1972,108.9,Montauk,24
10,1973,108.3,Montauk,24
11,1974,60.3,Montauk,24
12,1975,75.3,Montauk,24
13,1976,56.3,Montauk,24
14,1977,40.0,Montauk,24
15,1978,74.8,Montauk,24
16,1979,39.4,Montauk,24
17,1980,25.5,Montauk,24
18,1981,54.6,Montauk,24
19,1982,42.1,Montauk,24
20,1983,127.3,Montauk,24
21,1984,114.3,Montauk,24
22,1985,96.5,Montauk,24
23,1986,95.6,Montauk,24
24,1987,110.1,Montauk,24
25,1988,70.4,Montauk,24
26,1989,61.5,Montauk,24
27,1990,74.2,Montauk,24
28,1991,114.4,Montauk,24
29,1992,115.8,Montauk,24
30,1993,136.3,Montauk,24
31,1994,106.3,Montauk,24
32,1995,127.4,Montauk,24
33,1996,177.6,Montauk,24
34,1997,169.7,Montauk,24
35,1998,190.3,Montauk,24
36,1999,150.2,Montauk,24
37,2000,157.0,Montauk,24
38,2001,159.2,Montauk,24
39,2002,129.8,Montauk,24
40,2003,165.8,Montauk,24
41,2004,176.3,Montauk,24
42,2005,215.3,Montauk,24
43,2006,226.3,Montauk,24
44,2007,164.1,Montauk,24
45,2008,176.9,Montauk,24
46,2009,222.9,Montauk,24
47,2010,263.9,Montauk,24
48,2011,244.8,Montauk,24
49,2012,237.6,Montauk,24
50,2013,217.6,Montauk,24
51,2014,215.2,Montauk,24
