,year,level_norm,city,count
1,1964,0.0,Neah Bay,26
2,1965,71.4,Neah Bay,26
3,1966,66.4,Neah Bay,26
4,1967,48.7,Neah Bay,26
5,1968,69.5,Neah Bay,26
6,1969,79.7,Neah Bay,26
7,1970,9.4,Neah Bay,26
8,1971,21.6,Neah Bay,26
9,1972,51.8,Neah Bay,26
10,1973,8.4,Neah Bay,26
11,1974,22.3,Neah Bay,26
12,1975,-16.4,Neah Bay,26
13,1976,27.9,Neah Bay,26
14,1977,29.9,Neah Bay,26
15,1978,24.0,Neah Bay,26
16,1979,14.4,Neah Bay,26
17,1980,14.0,Neah Bay,26
18,1981,29.9,Neah Bay,26
19,1982,61.2,Neah Bay,26
20,1983,135.7,Neah Bay,26
21,1984,29.1,Neah Bay,26
22,1985,-61.1,Neah Bay,26
23,1986,13.1,Neah Bay,26
24,1987,7.1,Neah Bay,26
25,1988,-41.5,Neah Bay,26
26,1989,-43.7,Neah Bay,26
27,1990,-16.1,Neah Bay,26
28,1991,-30.7,Neah Bay,26
29,1992,42.5,Neah Bay,26
30,1993,-0.5,Neah Bay,26
31,1994,-11.7,Neah Bay,26
32,1995,34.9,Neah Bay,26
33,1996,-20.3,Neah Bay,26
34,1997,65.7,Neah Bay,26
35,1998,24.1,Neah Bay,26
36,1999,-43.8,Neah Bay,26
37,2000,-70.9,Neah Bay,26
38,2001,-79.1,Neah Bay,26
39,2002,-70.0,Neah Bay,26
40,2003,-16.3,Neah Bay,26
41,2004,-39.7,Neah Bay,26
42,2005,-23.6,Neah Bay,26
43,2006,-17.4,Neah Bay,26
44,2007,-81.6,Neah Bay,26
45,2008,-85.4,Neah Bay,26
46,2009,-69.7,Neah Bay,26
47,2010,3.2,Neah Bay,26
48,2011,-58.3,Neah Bay,26
49,2012,-16.2,Neah Bay,26
50,2013,-129.5,Neah Bay,26
51,2014,-8.0,Neah Bay,26
