,year,level_norm,city,count
1,1964,0.0,New London,27
2,1965,-12.4,New London,27
3,1966,-2.1,New London,27
4,1967,17.4,New London,27
5,1968,3.8,New London,27
6,1969,29.9,New London,27
7,1970,37.1,New London,27
8,1971,45.9,New London,27
9,1972,63.0,New London,27
10,1973,56.8,New London,27
11,1974,21.9,New London,27
12,1975,52.5,New London,27
13,1976,-15.0,New London,27
14,1977,-44.9,New London,27
15,1978,44.0,New London,27
16,1979,0.6,New London,27
17,1980,-18.4,New London,27
18,1981,0.3,New London,27
19,1982,3.0,New London,27
20,1983,88.4,New London,27
21,1984,65.2,New London,27
22,1985,35.7,New London,27
23,1986,29.4,New London,27
24,1987,56.6,New London,27
25,1988,22.5,New London,27
26,1989,12.6,New London,27
27,1990,20.1,New London,27
28,1991,57.9,New London,27
29,1992,62.4,New London,27
30,1993,79.4,New London,27
31,1994,23.9,New London,27
32,1995,58.3,New London,27
33,1996,127.4,New London,27
34,1997,116.8,New London,27
35,1998,139.4,New London,27
36,1999,95.5,New London,27
37,2000,73.9,New London,27
38,2001,86.1,New London,27
39,2002,73.2,New London,27
40,2003,104.1,New London,27
41,2004,97.5,New London,27
42,2005,152.1,New London,27
43,2006,134.5,New London,27
44,2007,100.4,New London,27
45,2008,127.1,New London,27
46,2009,159.1,New London,27
47,2010,201.5,New London,27
48,2011,188.5,New London,27
49,2012,162.3,New London,27
50,2013,133.1,New London,27
51,2014,142.1,New London,27
