,year,level_norm,city,count
1,1964,0.0,New York,28
2,1965,3.5,New York,28
3,1966,-4.6,New York,28
4,1967,41.9,New York,28
5,1968,-5.3,New York,28
6,1969,41.9,New York,28
7,1970,36.7,New York,28
8,1971,38.0,New York,28
9,1972,67.3,New York,28
10,1973,55.2,New York,28
11,1974,38.4,New York,28
12,1975,33.2,New York,28
13,1976,-13.4,New York,28
14,1977,87.8,New York,28
15,1978,74.4,New York,28
16,1979,21.6,New York,28
17,1980,4.3,New York,28
18,1981,11.5,New York,28
19,1982,20.1,New York,28
20,1983,108.7,New York,28
21,1984,84.8,New York,28
22,1985,13.6,New York,28
23,1986,57.3,New York,28
24,1987,81.3,New York,28
25,1988,26.7,New York,28
26,1989,13.5,New York,28
27,1990,0.8,New York,28
28,1991,67.8,New York,28
29,1992,74.6,New York,28
30,1993,107.5,New York,28
31,1994,29.2,New York,28
32,1995,80.5,New York,28
33,1996,108.6,New York,28
34,1997,219.8,New York,28
35,1998,152.4,New York,28
36,1999,100.5,New York,28
37,2000,110.2,New York,28
38,2001,113.8,New York,28
39,2002,71.8,New York,28
40,2003,107.7,New York,28
41,2004,130.1,New York,28
42,2005,167.8,New York,28
43,2006,143.1,New York,28
44,2007,91.9,New York,28
45,2008,145.4,New York,28
46,2009,173.9,New York,28
47,2010,209.8,New York,28
48,2011,206.7,New York,28
49,2012,180.7,New York,28
50,2013,147.9,New York,28
51,2014,168.3,New York,28
