,year,level_norm,city,count
1,1964,0.0,Newport,29
2,1965,36.1,Newport,29
3,1966,23.4,Newport,29
4,1967,32.9,Newport,29
5,1968,26.1,Newport,29
6,1969,74.4,Newport,29
7,1970,77.3,Newport,29
8,1971,87.4,Newport,29
9,1972,101.5,Newport,29
10,1973,76.9,Newport,29
11,1974,56.6,Newport,29
12,1975,67.9,Newport,29
13,1976,36.0,Newport,29
14,1977,36.2,Newport,29
15,1978,67.4,Newport,29
16,1979,58.0,Newport,29
17,1980,42.7,Newport,29
18,1981,57.8,Newport,29
19,1982,59.0,Newport,29
20,1983,130.4,Newport,29
21,1984,111.1,Newport,29
22,1985,94.8,Newport,29
23,1986,88.5,Newport,29
24,1987,110.8,Newport,29
25,1988,68.1,Newport,29
26,1989,54.8,Newport,29
27,1990,62.9,Newport,29
28,1991,106.2,Newport,29
29,1992,106.7,Newport,29
30,1993,115.7,Newport,29
31,1994,71.5,Newport,29
32,1995,104.5,Newport,29
33,1996,153.7,Newport,29
34,1997,150.4,Newport,29
35,1998,173.3,Newport,29
36,1999,132.1,Newport,29
37,2000,116.2,Newport,29
38,2001,129.9,Newport,29
39,2002,112.7,Newport,29
40,2003,124.9,Newport,29
41,2004,127.1,Newport,29
42,2005,184.0,Newport,29
43,2006,169.1,Newport,29
44,2007,123.6,Newport,29
45,2008,150.0,Newport,29
46,2009,180.9,Newport,29
47,2010,237.5,Newport,29
48,2011,210.5,Newport,29
49,2012,201.9,Newport,29
50,2013,179.3,Newport,29
51,2014,179.0,Newport,29
