,year,level_norm,city,count
1,1964,0.0,Pago Pago,30
2,1965,11.9,Pago Pago,30
3,1966,-43.0,Pago Pago,30
4,1967,15.1,Pago Pago,30
5,1968,-1.5,Pago Pago,30
6,1969,-26.9,Pago Pago,30
7,1970,-9.9,Pago Pago,30
8,1971,64.0,Pago Pago,30
9,1972,2.8,Pago Pago,30
10,1973,-48.4,Pago Pago,30
11,1974,56.2,Pago Pago,30
12,1975,7.2,Pago Pago,30
13,1976,28.3,Pago Pago,30
14,1977,-34.3,Pago Pago,30
15,1978,-63.2,Pago Pago,30
16,1979,23.8,Pago Pago,30
17,1980,29.1,Pago Pago,30
18,1981,12.9,Pago Pago,30
19,1982,48.5,Pago Pago,30
20,1983,-121.1,Pago Pago,30
21,1984,18.4,Pago Pago,30
22,1985,73.2,Pago Pago,30
23,1986,54.6,Pago Pago,30
24,1987,-28.9,Pago Pago,30
25,1988,-5.2,Pago Pago,30
26,1989,29.2,Pago Pago,30
27,1990,38.0,Pago Pago,30
28,1991,66.6,Pago Pago,30
29,1992,14.1,Pago Pago,30
30,1993,25.9,Pago Pago,30
31,1994,31.9,Pago Pago,30
32,1995,50.7,Pago Pago,30
33,1996,107.1,Pago Pago,30
34,1997,55.1,Pago Pago,30
35,1998,-147.1,Pago Pago,30
36,1999,94.2,Pago Pago,30
37,2000,81.7,Pago Pago,30
38,2001,98.1,Pago Pago,30
39,2002,83.3,Pago Pago,30
40,2003,93.1,Pago Pago,30
41,2004,124.0,Pago Pago,30
42,2005,80.7,Pago Pago,30
43,2006,127.4,Pago Pago,30
44,2007,108.9,Pago Pago,30
45,2008,101.8,Pago Pago,30
46,2009,104.5,Pago Pago,30
47,2010,132.1,Pago Pago,30
48,2011,248.0,Pago Pago,30
49,2012,227.0,Pago Pago,30
50,2013,211.1,Pago Pago,30
51,2014,225.4,Pago Pago,30
