,year,level_norm,city,count
1,1964,0.0,Port San Luis,32
2,1965,138.1,Port San Luis,32
3,1966,89.5,Port San Luis,32
4,1967,88.6,Port San Luis,32
5,1968,65.9,Port San Luis,32
6,1969,210.1,Port San Luis,32
7,1970,67.8,Port San Luis,32
8,1971,6.9,Port San Luis,32
9,1972,104.1,Port San Luis,32
10,1973,54.5,Port San Luis,32
11,1974,64.7,Port San Luis,32
12,1975,47.1,Port San Luis,32
13,1976,103.2,Port San Luis,32
14,1977,86.5,Port San Luis,32
15,1978,99.0,Port San Luis,32
16,1979,81.2,Port San Luis,32
17,1980,92.4,Port San Luis,32
18,1981,95.3,Port San Luis,32
19,1982,132.2,Port San Luis,32
20,1983,194.1,Port San Luis,32
21,1984,130.5,Port San Luis,32
22,1985,88.1,Port San Luis,32
23,1986,102.3,Port San Luis,32
24,1987,115.7,Port San Luis,32
25,1988,77.7,Port San Luis,32
26,1989,80.9,Port San Luis,32
27,1990,93.5,Port San Luis,32
28,1991,102.5,Port San Luis,32
29,1992,170.8,Port San Luis,32
30,1996,83.9,Port San Luis,32
31,1997,177.6,Port San Luis,32
32,1998,128.8,Port San Luis,32
33,1999,54.5,Port San Luis,32
34,2000,76.9,Port San Luis,32
35,2001,92.3,Port San Luis,32
36,2002,92.5,Port San Luis,32
37,2003,108.9,Port San Luis,32
38,2004,117.7,Port San Luis,32
39,2005,119.6,Port San Luis,32
40,2006,115.1,Port San Luis,32
41,2007,70.9,Port San Luis,32
42,2008,103.8,Port San Luis,32
43,2009,118.7,Port San Luis,32
44,2010,100.4,Port San Luis,32
45,2011,99.9,Port San Luis,32
46,2012,112.0,Port San Luis,32
47,2013,107.3,Port San Luis,32
48,2014,179.2,Port San Luis,32
