,year,level_norm,city,count
1,1964,0.0,Rockport,34
2,1965,76.5,Rockport,34
3,1966,53.0,Rockport,34
4,1967,101.3,Rockport,34
5,1968,99.4,Rockport,34
6,1969,96.8,Rockport,34
7,1970,83.0,Rockport,34
8,1971,128.4,Rockport,34
9,1972,180.4,Rockport,34
10,1973,197.7,Rockport,34
11,1974,169.4,Rockport,34
12,1975,228.3,Rockport,34
13,1976,109.5,Rockport,34
14,1977,159.3,Rockport,34
15,1978,125.0,Rockport,34
16,1979,172.2,Rockport,34
17,1980,109.3,Rockport,34
18,1981,134.6,Rockport,34
19,1982,133.3,Rockport,34
20,1983,202.8,Rockport,34
21,1984,175.0,Rockport,34
22,1985,173.3,Rockport,34
23,1986,181.5,Rockport,34
24,1987,149.8,Rockport,34
25,1988,119.7,Rockport,34
26,1989,129.0,Rockport,34
27,1990,190.9,Rockport,34
28,1991,230.7,Rockport,34
29,1992,224.9,Rockport,34
30,1993,199.3,Rockport,34
31,1994,210.5,Rockport,34
32,1995,273.1,Rockport,34
33,1996,209.7,Rockport,34
34,1997,270.8,Rockport,34
35,1998,319.5,Rockport,34
36,1999,292.9,Rockport,34
37,2000,264.5,Rockport,34
38,2001,284.4,Rockport,34
39,2002,361.5,Rockport,34
40,2003,323.5,Rockport,34
41,2004,337.3,Rockport,34
42,2005,341.3,Rockport,34
43,2006,272.4,Rockport,34
44,2007,384.1,Rockport,34
45,2008,355.5,Rockport,34
46,2009,335.7,Rockport,34
47,2010,369.8,Rockport,34
48,2011,318.4,Rockport,34
49,2012,366.9,Rockport,34
50,2013,385.6,Rockport,34
51,2014,359.3,Rockport,34
