,year,level_norm,city,count
1,1964,0.0,Sitka,37
2,1965,-37.9,Sitka,37
3,1966,22.8,Sitka,37
4,1967,-5.4,Sitka,37
5,1968,25.9,Sitka,37
6,1969,44.9,Sitka,37
7,1970,12.0,Sitka,37
8,1971,-37.8,Sitka,37
9,1972,-32.1,Sitka,37
10,1973,21.9,Sitka,37
11,1974,-27.9,Sitka,37
12,1975,-62.5,Sitka,37
13,1976,16.3,Sitka,37
14,1977,-9.4,Sitka,37
15,1978,-50.0,Sitka,37
16,1979,-52.5,Sitka,37
17,1980,-28.8,Sitka,37
18,1981,3.1,Sitka,37
19,1982,-62.2,Sitka,37
20,1983,39.9,Sitka,37
21,1984,0.7,Sitka,37
22,1985,-117.9,Sitka,37
23,1986,-40.5,Sitka,37
24,1987,1.4,Sitka,37
25,1988,-27.7,Sitka,37
26,1989,-111.5,Sitka,37
27,1990,-92.2,Sitka,37
28,1991,-83.2,Sitka,37
29,1992,-15.8,Sitka,37
30,1993,-62.0,Sitka,37
31,1994,-65.1,Sitka,37
32,1995,-87.7,Sitka,37
33,1996,-103.5,Sitka,37
34,1997,-26.3,Sitka,37
35,1998,-50.9,Sitka,37
36,1999,-66.1,Sitka,37
37,2000,-91.8,Sitka,37
38,2001,-64.0,Sitka,37
39,2002,-104.8,Sitka,37
40,2003,-49.6,Sitka,37
41,2004,-77.4,Sitka,37
42,2005,-43.5,Sitka,37
43,2006,-41.5,Sitka,37
44,2007,-58.3,Sitka,37
45,2008,-82.2,Sitka,37
46,2009,-127.2,Sitka,37
47,2010,-75.6,Sitka,37
48,2011,-147.6,Sitka,37
49,2012,-125.8,Sitka,37
50,2013,-236.7,Sitka,37
51,2014,-136.2,Sitka,37
