,year,level_norm,city,count
1,1964,0.0,Wake Is.,39
2,1965,-14.3,Wake Is.,39
3,1966,-41.7,Wake Is.,39
4,1967,-48.9,Wake Is.,39
5,1969,40.2,Wake Is.,39
6,1970,50.3,Wake Is.,39
7,1971,-11.1,Wake Is.,39
8,1972,-7.1,Wake Is.,39
9,1973,6.1,Wake Is.,39
10,1974,18.5,Wake Is.,39
11,1975,104.9,Wake Is.,39
12,1976,2.3,Wake Is.,39
13,1977,-30.1,Wake Is.,39
14,1978,71.4,Wake Is.,39
15,1979,-2.5,Wake Is.,39
16,1980,27.0,Wake Is.,39
17,1981,52.3,Wake Is.,39
18,1982,2.3,Wake Is.,39
19,1983,16.4,Wake Is.,39
20,1984,137.6,Wake Is.,39
21,1985,59.6,Wake Is.,39
22,1986,-18.3,Wake Is.,39
23,1987,60.7,Wake Is.,39
24,1988,78.7,Wake Is.,39
25,1989,-37.3,Wake Is.,39
26,1990,29.5,Wake Is.,39
27,1991,29.7,Wake Is.,39
28,1992,-5.5,Wake Is.,39
29,1993,61.7,Wake Is.,39
30,1994,70.0,Wake Is.,39
31,1995,52.6,Wake Is.,39
32,1996,77.2,Wake Is.,39
33,1997,86.7,Wake Is.,39
34,1998,77.5,Wake Is.,39
35,1999,107.2,Wake Is.,39
36,2000,141.5,Wake Is.,39
37,2001,60.5,Wake Is.,39
38,2002,97.1,Wake Is.,39
39,2003,57.8,Wake Is.,39
40,2004,101.7,Wake Is.,39
41,2005,64.5,Wake Is.,39
42,2006,31.2,Wake Is.,39
43,2007,105.8,Wake Is.,39
44,2008,108.2,Wake Is.,39
45,2009,55.9,Wake Is.,39
46,2010,63.8,Wake Is.,39
47,2011,84.8,Wake Is.,39
48,2012,144.6,Wake Is.,39
49,2013,137.3,Wake Is.,39
50,2014,88.4,Wake Is.,39
