,year,level_norm,city,count
1,1964,0.0,Wilmington,40
2,1965,9.1,Wilmington,40
3,1966,-8.3,Wilmington,40
4,1967,-9.7,Wilmington,40
5,1968,-37.8,Wilmington,40
6,1969,19.4,Wilmington,40
7,1970,22.8,Wilmington,40
8,1971,42.2,Wilmington,40
9,1972,78.0,Wilmington,40
10,1973,109.2,Wilmington,40
11,1974,78.4,Wilmington,40
12,1975,104.1,Wilmington,40
13,1976,-3.7,Wilmington,40
14,1977,26.1,Wilmington,40
15,1978,54.9,Wilmington,40
16,1979,31.0,Wilmington,40
17,1980,3.3,Wilmington,40
18,1981,-14.8,Wilmington,40
19,1982,27.7,Wilmington,40
20,1983,93.6,Wilmington,40
21,1984,92.5,Wilmington,40
22,1985,55.4,Wilmington,40
23,1986,48.9,Wilmington,40
24,1987,54.3,Wilmington,40
25,1988,7.9,Wilmington,40
26,1989,53.4,Wilmington,40
27,1990,47.7,Wilmington,40
28,1991,92.2,Wilmington,40
29,1992,85.8,Wilmington,40
30,1993,93.3,Wilmington,40
31,1994,61.1,Wilmington,40
32,1995,137.9,Wilmington,40
33,1996,96.4,Wilmington,40
34,1997,88.1,Wilmington,40
35,1998,115.2,Wilmington,40
36,1999,147.6,Wilmington,40
37,2000,108.4,Wilmington,40
38,2001,56.2,Wilmington,40
39,2002,68.0,Wilmington,40
40,2003,109.8,Wilmington,40
41,2004,50.9,Wilmington,40
42,2005,101.7,Wilmington,40
43,2006,90.3,Wilmington,40
44,2007,64.6,Wilmington,40
45,2008,75.0,Wilmington,40
46,2009,122.3,Wilmington,40
47,2010,106.9,Wilmington,40
48,2011,80.1,Wilmington,40
49,2012,125.6,Wilmington,40
50,2013,128.0,Wilmington,40
51,2014,198.3,Wilmington,40
