year,level_norm,city,latitude,longtitude
1994,0.0,Gan,-0.68700,73.15200
1995,-5.3,Gan,-0.68700,73.15200
1996,-9.1,Gan,-0.68700,73.15200
1997,-4.7,Gan,-0.68700,73.15200
1998,43.7,Gan,-0.68700,73.15200
1999,14.9,Gan,-0.68700,73.15200
2000,35.8,Gan,-0.68700,73.15200
2001,0.1,Gan,-0.68700,73.15200
2002,11.3,Gan,-0.68700,73.15200
2003,19.8,Gan,-0.68700,73.15200
2004,9.6,Gan,-0.68700,73.15200
2005,-9.9,Gan,-0.68700,73.15200
2006,15.3,Gan,-0.68700,73.15200
2007,30.2,Gan,-0.68700,73.15200
2008,42.3,Gan,-0.68700,73.15200
2009,17.0,Gan,-0.68700,73.15200
2010,30.5,Gan,-0.68700,73.15200
2011,35.0,Gan,-0.68700,73.15200
2012,74.9,Gan,-0.68700,73.15200
2013,52.6,Gan,-0.68700,73.15200
2014,41.6,Gan,-0.68700,73.15200
1994,0.0,Santa Cruz Galapagos,-0.75200,-90.30700
1995,-29.5,Santa Cruz Galapagos,-0.75200,-90.30700
1996,-38.7,Santa Cruz Galapagos,-0.75200,-90.30700
1997,196.8,Santa Cruz Galapagos,-0.75200,-90.30700
1998,66.5,Santa Cruz Galapagos,-0.75200,-90.30700
1999,-33.2,Santa Cruz Galapagos,-0.75200,-90.30700
2000,-19.8,Santa Cruz Galapagos,-0.75200,-90.30700
2001,-6.8,Santa Cruz Galapagos,-0.75200,-90.30700
2002,57.3,Santa Cruz Galapagos,-0.75200,-90.30700
2003,10.1,Santa Cruz Galapagos,-0.75200,-90.30700
2004,13.2,Santa Cruz Galapagos,-0.75200,-90.30700
2005,5.8,Santa Cruz Galapagos,-0.75200,-90.30700
2006,52.0,Santa Cruz Galapagos,-0.75200,-90.30700
2007,-35.8,Santa Cruz Galapagos,-0.75200,-90.30700
2008,11.4,Santa Cruz Galapagos,-0.75200,-90.30700
2009,32.2,Santa Cruz Galapagos,-0.75200,-90.30700
2010,-16.0,Santa Cruz Galapagos,-0.75200,-90.30700
2011,5.6,Santa Cruz Galapagos,-0.75200,-90.30700
2012,32.3,Santa Cruz Galapagos,-0.75200,-90.30700
2013,8.7,Santa Cruz Galapagos,-0.75200,-90.30700
2014,71.9,Santa Cruz Galapagos,-0.75200,-90.30700
1994,0.0,Booby Is.,-10.60000,141.92000
1995,83.6,Booby Is.,-10.60000,141.92000
1996,235.6,Booby Is.,-10.60000,141.92000
1997,155.6,Booby Is.,-10.60000,141.92000
1998,118.2,Booby Is.,-10.60000,141.92000
1999,260.6,Booby Is.,-10.60000,141.92000
2000,233.3,Booby Is.,-10.60000,141.92000
2001,209.9,Booby Is.,-10.60000,141.92000
2002,97.3,Booby Is.,-10.60000,141.92000
2003,134.9,Booby Is.,-10.60000,141.92000
2004,130.3,Booby Is.,-10.60000,141.92000
2005,147.4,Booby Is.,-10.60000,141.92000
2006,171.0,Booby Is.,-10.60000,141.92000
2007,190.6,Booby Is.,-10.60000,141.92000
2008,247.9,Booby Is.,-10.60000,141.92000
2009,221.4,Booby Is.,-10.60000,141.92000
2010,279.7,Booby Is.,-10.60000,141.92000
2011,284.9,Booby Is.,-10.60000,141.92000
2012,219.3,Booby Is.,-10.60000,141.92000
2013,223.1,Booby Is.,-10.60000,141.92000
2014,184.5,Booby Is.,-10.60000,141.92000
1994,0.0,Callao,-12.07100,-77.17400
1995,-15.9,Callao,-12.07100,-77.17400
1996,-28.9,Callao,-12.07100,-77.17400
1997,151.4,Callao,-12.07100,-77.17400
1998,11.6,Callao,-12.07100,-77.17400
1999,-57.6,Callao,-12.07100,-77.17400
2000,-36.0,Callao,-12.07100,-77.17400
2001,-49.2,Callao,-12.07100,-77.17400
2002,13.6,Callao,-12.07100,-77.17400
2003,-64.1,Callao,-12.07100,-77.17400
2004,-51.6,Callao,-12.07100,-77.17400
2005,-47.4,Callao,-12.07100,-77.17400
2006,-38.5,Callao,-12.07100,-77.17400
2007,-82.6,Callao,-12.07100,-77.17400
2008,-20.7,Callao,-12.07100,-77.17400
2009,7.8,Callao,-12.07100,-77.17400
2010,-36.3,Callao,-12.07100,-77.17400
2011,-20.2,Callao,-12.07100,-77.17400
2012,11.6,Callao,-12.07100,-77.17400
2013,-12.9,Callao,-12.07100,-77.17400
2014,29.9,Callao,-12.07100,-77.17400
1994,0.0,Cocos Is. (Keeling),-12.11700,96.88300
1995,-76.9,Cocos Is. (Keeling),-12.11700,96.88300
1996,48.9,Cocos Is. (Keeling),-12.11700,96.88300
1997,-20.7,Cocos Is. (Keeling),-12.11700,96.88300
1998,-78.3,Cocos Is. (Keeling),-12.11700,96.88300
1999,36.4,Cocos Is. (Keeling),-12.11700,96.88300
2000,-12.9,Cocos Is. (Keeling),-12.11700,96.88300
2001,58.2,Cocos Is. (Keeling),-12.11700,96.88300
2002,56.0,Cocos Is. (Keeling),-12.11700,96.88300
2003,30.9,Cocos Is. (Keeling),-12.11700,96.88300
2004,43.9,Cocos Is. (Keeling),-12.11700,96.88300
2005,50.6,Cocos Is. (Keeling),-12.11700,96.88300
2006,57.3,Cocos Is. (Keeling),-12.11700,96.88300
2007,-9.1,Cocos Is. (Keeling),-12.11700,96.88300
2008,85.3,Cocos Is. (Keeling),-12.11700,96.88300
2009,85.4,Cocos Is. (Keeling),-12.11700,96.88300
2010,77.2,Cocos Is. (Keeling),-12.11700,96.88300
2011,117.2,Cocos Is. (Keeling),-12.11700,96.88300
2012,111.3,Cocos Is. (Keeling),-12.11700,96.88300
2013,89.5,Cocos Is. (Keeling),-12.11700,96.88300
2014,143.8,Cocos Is. (Keeling),-12.11700,96.88300
1994,0.0,Darwin,-12.46700,130.85000
1995,63.7,Darwin,-12.46700,130.85000
1996,112.9,Darwin,-12.46700,130.85000
1997,-0.8,Darwin,-12.46700,130.85000
1998,105.2,Darwin,-12.46700,130.85000
1999,177.7,Darwin,-12.46700,130.85000
2000,200.5,Darwin,-12.46700,130.85000
2001,167.0,Darwin,-12.46700,130.85000
2002,53.5,Darwin,-12.46700,130.85000
2003,72.7,Darwin,-12.46700,130.85000
2004,74.0,Darwin,-12.46700,130.85000
2005,82.9,Darwin,-12.46700,130.85000
2006,91.0,Darwin,-12.46700,130.85000
2007,116.8,Darwin,-12.46700,130.85000
2008,190.0,Darwin,-12.46700,130.85000
2009,155.5,Darwin,-12.46700,130.85000
2010,203.5,Darwin,-12.46700,130.85000
2011,230.1,Darwin,-12.46700,130.85000
2012,194.7,Darwin,-12.46700,130.85000
2013,215.3,Darwin,-12.46700,130.85000
2014,152.1,Darwin,-12.46700,130.85000
1994,0.0,Apia,-13.81700,-171.75000
1995,33.1,Apia,-13.81700,-171.75000
1996,88.8,Apia,-13.81700,-171.75000
1997,34.0,Apia,-13.81700,-171.75000
1998,-172.2,Apia,-13.81700,-171.75000
1999,63.4,Apia,-13.81700,-171.75000
2000,45.9,Apia,-13.81700,-171.75000
2001,66.4,Apia,-13.81700,-171.75000
2002,46.9,Apia,-13.81700,-171.75000
2003,55.1,Apia,-13.81700,-171.75000
2004,82.3,Apia,-13.81700,-171.75000
2005,54.9,Apia,-13.81700,-171.75000
2006,95.7,Apia,-13.81700,-171.75000
2007,76.5,Apia,-13.81700,-171.75000
2008,78.4,Apia,-13.81700,-171.75000
2009,73.3,Apia,-13.81700,-171.75000
2010,65.5,Apia,-13.81700,-171.75000
2011,195.8,Apia,-13.81700,-171.75000
2012,165.7,Apia,-13.81700,-171.75000
2013,148.0,Apia,-13.81700,-171.75000
2014,152.3,Apia,-13.81700,-171.75000
1994,0.0,Groote Eylandt,-13.83000,136.50000
1995,79.0,Groote Eylandt,-13.83000,136.50000
1996,162.9,Groote Eylandt,-13.83000,136.50000
1997,23.1,Groote Eylandt,-13.83000,136.50000
1998,159.7,Groote Eylandt,-13.83000,136.50000
1999,214.3,Groote Eylandt,-13.83000,136.50000
2000,234.0,Groote Eylandt,-13.83000,136.50000
2001,231.5,Groote Eylandt,-13.83000,136.50000
2002,79.0,Groote Eylandt,-13.83000,136.50000
2003,130.8,Groote Eylandt,-13.83000,136.50000
2004,102.8,Groote Eylandt,-13.83000,136.50000
2005,105.0,Groote Eylandt,-13.83000,136.50000
2006,145.2,Groote Eylandt,-13.83000,136.50000
2007,151.6,Groote Eylandt,-13.83000,136.50000
2008,218.5,Groote Eylandt,-13.83000,136.50000
2009,214.2,Groote Eylandt,-13.83000,136.50000
2010,263.2,Groote Eylandt,-13.83000,136.50000
2011,266.7,Groote Eylandt,-13.83000,136.50000
2012,217.0,Groote Eylandt,-13.83000,136.50000
2013,297.3,Groote Eylandt,-13.83000,136.50000
2014,171.3,Groote Eylandt,-13.83000,136.50000
1994,0.0,Pago Pago,-14.27700,-170.69100
1995,18.8,Pago Pago,-14.27700,-170.69100
1996,75.2,Pago Pago,-14.27700,-170.69100
1997,23.2,Pago Pago,-14.27700,-170.69100
1998,-179.0,Pago Pago,-14.27700,-170.69100
1999,62.3,Pago Pago,-14.27700,-170.69100
2000,49.8,Pago Pago,-14.27700,-170.69100
2001,66.2,Pago Pago,-14.27700,-170.69100
2002,51.4,Pago Pago,-14.27700,-170.69100
2003,61.2,Pago Pago,-14.27700,-170.69100
2004,92.1,Pago Pago,-14.27700,-170.69100
2005,48.8,Pago Pago,-14.27700,-170.69100
2006,95.5,Pago Pago,-14.27700,-170.69100
2007,77.0,Pago Pago,-14.27700,-170.69100
2008,69.9,Pago Pago,-14.27700,-170.69100
2009,72.6,Pago Pago,-14.27700,-170.69100
2010,100.2,Pago Pago,-14.27700,-170.69100
2011,216.1,Pago Pago,-14.27700,-170.69100
2012,195.1,Pago Pago,-14.27700,-170.69100
2013,179.2,Pago Pago,-14.27700,-170.69100
2014,193.5,Pago Pago,-14.27700,-170.69100
1994,0.0,Papeete,-17.53300,-149.56700
1995,29.7,Papeete,-17.53300,-149.56700
1996,32.1,Papeete,-17.53300,-149.56700
1997,0.4,Papeete,-17.53300,-149.56700
1998,-32.4,Papeete,-17.53300,-149.56700
1999,89.0,Papeete,-17.53300,-149.56700
2000,32.2,Papeete,-17.53300,-149.56700
2001,22.9,Papeete,-17.53300,-149.56700
2002,37.6,Papeete,-17.53300,-149.56700
2003,52.5,Papeete,-17.53300,-149.56700
2004,54.5,Papeete,-17.53300,-149.56700
2005,15.8,Papeete,-17.53300,-149.56700
2006,67.5,Papeete,-17.53300,-149.56700
2007,41.9,Papeete,-17.53300,-149.56700
2008,17.7,Papeete,-17.53300,-149.56700
2009,25.2,Papeete,-17.53300,-149.56700
2010,0.6,Papeete,-17.53300,-149.56700
2011,43.1,Papeete,-17.53300,-149.56700
2012,40.0,Papeete,-17.53300,-149.56700
2013,31.1,Papeete,-17.53300,-149.56700
2014,85.1,Papeete,-17.53300,-149.56700
1994,0.0,Port Vila VU (Villa),-17.75000,168.28000
1995,4.8,Port Vila VU (Villa),-17.75000,168.28000
1996,79.8,Port Vila VU (Villa),-17.75000,168.28000
1997,50.7,Port Vila VU (Villa),-17.75000,168.28000
1998,3.0,Port Vila VU (Villa),-17.75000,168.28000
1999,7.6,Port Vila VU (Villa),-17.75000,168.28000
2000,91.8,Port Vila VU (Villa),-17.75000,168.28000
2001,107.5,Port Vila VU (Villa),-17.75000,168.28000
2002,79.1,Port Vila VU (Villa),-17.75000,168.28000
2003,33.8,Port Vila VU (Villa),-17.75000,168.28000
2004,44.4,Port Vila VU (Villa),-17.75000,168.28000
2005,32.6,Port Vila VU (Villa),-17.75000,168.28000
2006,51.1,Port Vila VU (Villa),-17.75000,168.28000
2007,91.3,Port Vila VU (Villa),-17.75000,168.28000
2008,132.4,Port Vila VU (Villa),-17.75000,168.28000
2009,164.9,Port Vila VU (Villa),-17.75000,168.28000
2010,72.8,Port Vila VU (Villa),-17.75000,168.28000
2011,94.7,Port Vila VU (Villa),-17.75000,168.28000
2012,85.3,Port Vila VU (Villa),-17.75000,168.28000
2013,55.5,Port Vila VU (Villa),-17.75000,168.28000
