year,level_norm,city
1984,0.0,Abashiri
1985,-32.0,Abashiri
1986,-13.1,Abashiri
1987,-22.0,Abashiri
1988,-50.5,Abashiri
1989,-56.7,Abashiri
1990,-64.8,Abashiri
1991,-27.9,Abashiri
1992,-37.8,Abashiri
1993,-19.6,Abashiri
1994,8.3,Abashiri
1995,34.6,Abashiri
1996,14.1,Abashiri
1997,43.7,Abashiri
1998,3.2,Abashiri
1999,25.6,Abashiri
2000,35.8,Abashiri
2001,4.1,Abashiri
2002,29.9,Abashiri
2003,-0.2,Abashiri
2004,52.9,Abashiri
2005,44.6,Abashiri
2006,6.2,Abashiri
2007,10.3,Abashiri
2008,-5.6,Abashiri
2009,24.0,Abashiri
2010,40.3,Abashiri
2011,36.0,Abashiri
2012,15.5,Abashiri
2013,49.2,Abashiri
2014,52.2,Abashiri
year,level_norm,city
1984,0.0,Aburatsu
1985,-19.7,Aburatsu
1986,32.0,Aburatsu
1987,16.1,Aburatsu
1988,10.9,Aburatsu
1989,75.9,Aburatsu
1990,26.7,Aburatsu
1991,64.7,Aburatsu
1992,79.0,Aburatsu
1993,42.9,Aburatsu
1994,97.3,Aburatsu
1995,45.9,Aburatsu
1996,54.0,Aburatsu
1997,71.2,Aburatsu
1998,99.3,Aburatsu
1999,120.6,Aburatsu
2000,69.5,Aburatsu
2001,112.1,Aburatsu
2002,124.7,Aburatsu
2003,116.7,Aburatsu
2004,116.5,Aburatsu
2005,54.4,Aburatsu
2006,115.5,Aburatsu
2007,86.8,Aburatsu
2008,91.3,Aburatsu
2009,106.6,Aburatsu
2010,120.7,Aburatsu
2011,131.2,Aburatsu
2012,168.7,Aburatsu
2013,115.7,Aburatsu
2014,138.9,Aburatsu
year,level_norm,city
1984,0.0,Adak
1985,-25.1,Adak
1986,38.3,Adak
1987,56.2,Adak
1988,59.8,Adak
1989,-23.8,Adak
1990,-29.7,Adak
1991,7.3,Adak
1992,12.4,Adak
1993,22.0,Adak
1994,-34.8,Adak
1995,-2.2,Adak
1996,-26.4,Adak
1997,30.3,Adak
1998,15.9,Adak
1999,-63.3,Adak
2000,-30.4,Adak
2001,-56.4,Adak
2002,-57.6,Adak
2003,-43.5,Adak
2004,-40.1,Adak
2005,-20.8,Adak
2006,-84.8,Adak
2007,-69.2,Adak
2008,-94.9,Adak
2009,-66.6,Adak
2010,-69.4,Adak
2011,-61.8,Adak
2012,-121.4,Adak
2013,-112.5,Adak
2014,-25.1,Adak
year,level_norm,city
1984,0.0,Antofagasta
1985,-27.6,Antofagasta
1986,-24.5,Antofagasta
1987,-50.9,Antofagasta
1988,-97.8,Antofagasta
1989,-51.2,Antofagasta
1990,-42.1,Antofagasta
1991,-52.0,Antofagasta
1992,17.3,Antofagasta
1993,-8.8,Antofagasta
1994,-28.8,Antofagasta
1995,-81.6,Antofagasta
1996,-93.0,Antofagasta
1997,-12.0,Antofagasta
1998,-75.2,Antofagasta
1999,-71.9,Antofagasta
2000,-89.0,Antofagasta
2001,-26.2,Antofagasta
2002,-38.2,Antofagasta
2003,45.1,Antofagasta
2004,0.0,Antofagasta
2005,-71.3,Antofagasta
2006,-55.2,Antofagasta
2007,-78.4,Antofagasta
2008,-73.4,Antofagasta
2009,-61.3,Antofagasta
2010,-56.2,Antofagasta
2011,-25.0,Antofagasta
2012,-26.2,Antofagasta
2013,-59.6,Antofagasta
2014,-67.9,Antofagasta
year,level_norm,city
1984,0.0,Astoria (Tongue Point)
1985,-121.7,Astoria (Tongue Point)
1986,-43.5,Astoria (Tongue Point)
1987,-69.9,Astoria (Tongue Point)
1988,-113.6,Astoria (Tongue Point)
1989,-106.5,Astoria (Tongue Point)
1990,-50.5,Astoria (Tongue Point)
1991,-62.3,Astoria (Tongue Point)
1992,-43.7,Astoria (Tongue Point)
1993,-56.8,Astoria (Tongue Point)
1994,-66.4,Astoria (Tongue Point)
1995,9.2,Astoria (Tongue Point)
1996,20.8,Astoria (Tongue Point)
1997,91.8,Astoria (Tongue Point)
1998,19.3,Astoria (Tongue Point)
1999,-24.3,Astoria (Tongue Point)
2000,-83.6,Astoria (Tongue Point)
2001,-131.0,Astoria (Tongue Point)
2002,-77.4,Astoria (Tongue Point)
2003,-38.1,Astoria (Tongue Point)
2004,-57.1,Astoria (Tongue Point)
2005,-56.8,Astoria (Tongue Point)
2006,-6.9,Astoria (Tongue Point)
2007,-86.9,Astoria (Tongue Point)
2008,-77.6,Astoria (Tongue Point)
2009,-67.3,Astoria (Tongue Point)
2010,-19.7,Astoria (Tongue Point)
2011,-13.2,Astoria (Tongue Point)
2012,28.0,Astoria (Tongue Point)
2013,-107.1,Astoria (Tongue Point)
2014,18.5,Astoria (Tongue Point)
year,level_norm,city
1984,0.0,Atlantic City
1985,-29.5,Atlantic City
1986,-5.8,Atlantic City
1987,16.4,Atlantic City
1988,-40.9,Atlantic City
1989,-39.1,Atlantic City
1990,-42.2,Atlantic City
1991,26.1,Atlantic City
1992,59.8,Atlantic City
1993,70.9,Atlantic City
1994,-44.5,Atlantic City
1995,-16.0,Atlantic City
1996,77.1,Atlantic City
1997,63.9,Atlantic City
1998,98.7,Atlantic City
1999,52.7,Atlantic City
2000,27.6,Atlantic City
2001,48.3,Atlantic City
2002,62.9,Atlantic City
2003,44.1,Atlantic City
2004,51.0,Atlantic City
2005,106.8,Atlantic City
2006,82.5,Atlantic City
2007,47.6,Atlantic City
2008,73.1,Atlantic City
2009,117.9,Atlantic City
2010,150.1,Atlantic City
2011,140.2,Atlantic City
2012,129.8,Atlantic City
2013,79.9,Atlantic City
2014,105.5,Atlantic City
year,level_norm,city
1984,0.0,Balboa
1985,-50.1,Balboa
1986,-7.4,Balboa
1987,-50.3,Balboa
1988,-202.6,Balboa
1989,-144.4,Balboa
1990,-23.9,Balboa
1991,28.5,Balboa
1992,20.1,Balboa
1993,28.1,Balboa
1994,-2.0,Balboa
1995,-3.2,Balboa
1996,18.3,Balboa
1997,110.9,Balboa
1998,18.4,Balboa
1999,-14.5,Balboa
2000,-33.1,Balboa
2001,-41.8,Balboa
2002,35.5,Balboa
2003,178.3,Balboa
2004,75.6,Balboa
2005,148.7,Balboa
2006,68.5,Balboa
2007,-8.9,Balboa
2008,57.9,Balboa
2009,-2.4,Balboa
2010,-15.9,Balboa
2011,-2.8,Balboa
2012,-31.0,Balboa
2013,-2.8,Balboa
2014,10.1,Balboa
year,level_norm,city
1984,0.0,Boston
1985,-5.3,Boston
1986,-24.6,Boston
1987,-5.5,Boston
1988,-38.4,Boston
1989,-45.3,Boston
