group,value,label
1964,0.0,Adak
1965,51.9,Adak
1966,44.4,Adak
1967,30.8,Adak
1968,29.7,Adak
1969,59.0,Adak
1970,47.3,Adak
1971,12.0,Adak
1972,-5.7,Adak
1973,1.2,Adak
1974,47.4,Adak
1975,-7.5,Adak
1976,-3.5,Adak
1977,55.7,Adak
1978,24.4,Adak
1979,-24.2,Adak
1980,-6.8,Adak
1981,15.0,Adak
1982,-21.4,Adak
1983,24.7,Adak
1984,-1.8,Adak
1985,-26.9,Adak
1986,36.5,Adak
1987,54.4,Adak
1988,58.0,Adak
1989,-25.6,Adak
1990,-31.5,Adak
1991,5.5,Adak
1992,10.6,Adak
1993,20.2,Adak
1994,-36.6,Adak
1995,-4.0,Adak
1996,-28.2,Adak
1997,28.5,Adak
1998,14.1,Adak
1999,-65.1,Adak
2000,-32.2,Adak
2001,-58.2,Adak
2002,-59.4,Adak
2003,-45.3,Adak
2004,-41.9,Adak
2005,-22.6,Adak
2006,-86.6,Adak
2007,-71.0,Adak
2008,-96.7,Adak
2009,-68.4,Adak
2010,-71.2,Adak
2011,-63.6,Adak
2012,-123.2,Adak
2013,-114.3,Adak
2014,-26.9,Adak
1964,0.0,Astoria (Tongue Point)
1965,50.1,Astoria (Tongue Point)
1966,5.4,Astoria (Tongue Point)
1967,17.2,Astoria (Tongue Point)
1968,28.5,Astoria (Tongue Point)
1969,64.4,Astoria (Tongue Point)
1970,-11.7,Astoria (Tongue Point)
1971,51.2,Astoria (Tongue Point)
1972,85.6,Astoria (Tongue Point)
1973,-21.7,Astoria (Tongue Point)
1974,47.3,Astoria (Tongue Point)
1975,-3.8,Astoria (Tongue Point)
1976,10.3,Astoria (Tongue Point)
1977,-43.8,Astoria (Tongue Point)
1978,-3.2,Astoria (Tongue Point)
1979,-26.8,Astoria (Tongue Point)
1980,-10.7,Astoria (Tongue Point)
1981,28.6,Astoria (Tongue Point)
1982,95.6,Astoria (Tongue Point)
1983,145.2,Astoria (Tongue Point)
1984,58.3,Astoria (Tongue Point)
1985,-63.4,Astoria (Tongue Point)
1986,14.8,Astoria (Tongue Point)
1987,-11.6,Astoria (Tongue Point)
1988,-55.3,Astoria (Tongue Point)
1989,-48.2,Astoria (Tongue Point)
1990,7.8,Astoria (Tongue Point)
1991,-4.0,Astoria (Tongue Point)
1992,14.6,Astoria (Tongue Point)
1993,1.5,Astoria (Tongue Point)
1994,-8.1,Astoria (Tongue Point)
1995,67.5,Astoria (Tongue Point)
1996,79.1,Astoria (Tongue Point)
1997,150.1,Astoria (Tongue Point)
1998,77.6,Astoria (Tongue Point)
1999,34.0,Astoria (Tongue Point)
2000,-25.3,Astoria (Tongue Point)
2001,-72.7,Astoria (Tongue Point)
2002,-19.1,Astoria (Tongue Point)
2003,20.2,Astoria (Tongue Point)
2004,1.2,Astoria (Tongue Point)
2005,1.5,Astoria (Tongue Point)
2006,51.4,Astoria (Tongue Point)
2007,-28.6,Astoria (Tongue Point)
2008,-19.3,Astoria (Tongue Point)
2009,-9.0,Astoria (Tongue Point)
2010,38.6,Astoria (Tongue Point)
2011,45.1,Astoria (Tongue Point)
2012,86.3,Astoria (Tongue Point)
2013,-48.8,Astoria (Tongue Point)
2014,76.8,Astoria (Tongue Point)
1964,0.0,Atlantic City
1965,-3.6,Atlantic City
1966,-14.2,Atlantic City
1967,29.7,Atlantic City
1968,35.5,Atlantic City
1969,81.1,Atlantic City
1971,113.3,Atlantic City
1972,109.6,Atlantic City
1973,113.2,Atlantic City
1974,91.4,Atlantic City
1975,90.6,Atlantic City
1976,11.3,Atlantic City
1977,15.2,Atlantic City
1978,64.5,Atlantic City
1979,42.9,Atlantic City
1980,55.7,Atlantic City
1981,49.7,Atlantic City
1982,87.2,Atlantic City
1983,146.1,Atlantic City
1984,129.7,Atlantic City
1985,100.2,Atlantic City
1986,123.9,Atlantic City
1987,146.1,Atlantic City
1988,88.8,Atlantic City
1989,90.6,Atlantic City
1990,87.5,Atlantic City
1991,155.8,Atlantic City
1992,189.5,Atlantic City
1993,200.6,Atlantic City
1994,85.2,Atlantic City
1995,113.7,Atlantic City
1996,206.8,Atlantic City
1997,193.6,Atlantic City
1998,228.4,Atlantic City
1999,182.4,Atlantic City
2000,157.3,Atlantic City
2001,178.0,Atlantic City
2002,192.6,Atlantic City
2003,173.8,Atlantic City
2004,180.7,Atlantic City
2005,236.5,Atlantic City
2006,212.2,Atlantic City
2007,177.3,Atlantic City
2008,202.8,Atlantic City
2009,247.6,Atlantic City
2010,279.8,Atlantic City
2011,269.9,Atlantic City
2012,259.5,Atlantic City
2013,209.6,Atlantic City
2014,235.2,Atlantic City
1964,0.0,Boston
1965,1.8,Boston
1966,13.5,Boston
1967,27.6,Boston
1968,18.7,Boston
1969,61.2,Boston
1970,43.4,Boston
1971,55.5,Boston
1972,77.3,Boston
1973,76.5,Boston
1974,40.6,Boston
1975,50.7,Boston
1976,13.8,Boston
1977,47.9,Boston
1978,50.6,Boston
1979,20.1,Boston
1980,17.9,Boston
1981,35.9,Boston
1982,19.4,Boston
1983,97.2,Boston
1984,72.5,Boston
1985,67.2,Boston
1986,47.9,Boston
1987,67.0,Boston
1988,34.1,Boston
1989,27.2,Boston
1990,37.6,Boston
1991,75.3,Boston
1992,70.1,Boston
1993,81.8,Boston
1994,31.4,Boston
1995,71.1,Boston
1996,128.3,Boston
1997,116.9,Boston
1998,136.2,Boston
1999,84.8,Boston
2000,86.5,Boston
2001,82.6,Boston
2002,82.1,Boston
2003,104.4,Boston
2004,109.5,Boston
2005,163.8,Boston
2006,147.1,Boston
2007,110.7,Boston
2008,131.8,Boston
2009,168.1,Boston
2010,229.8,Boston
2011,191.2,Boston
2012,173.4,Boston
2013,164.8,Boston
2014,165.9,Boston
1964,0.0,Charleston
1965,1.9,Charleston
1966,34.1,Charleston
1967,36.4,Charleston
1968,20.9,Charleston
1969,53.7,Charleston
1970,60.2,Charleston
1971,68.1,Charleston
1972,105.8,Charleston
1973,147.2,Charleston
1974,99.5,Charleston
1975,118.3,Charleston
1976,41.9,Charleston
1977,54.3,Charleston
1978,72.0,Charleston
1979,52.4,Charleston
1980,65.3,Charleston
1981,39.2,Charleston
1982,76.5,Charleston
1983,142.9,Charleston
1984,113.9,Charleston
1985,104.6,Charleston
1986,124.0,Charleston
1987,104.1,Charleston
1988,68.8,Charleston
1989,68.2,Charleston
1990,90.3,Charleston
1991,170.4,Charleston
1992,148.7,Charleston
1993,140.6,Charleston
1994,130.4,Charleston
1995,184.6,Charleston
1996,98.8,Charleston
1997,157.0,Charleston
1998,128.1,Charleston
1999,198.2,Charleston
2000,168.2,Charleston
2001,133.7,Charleston
2002,149.4,Charleston
2003,129.9,Charleston
2004,112.9,Charleston
2005,183.5,Charleston
2006,138.6,Charleston
2007,169.8,Charleston
2008,145.6,Charleston
2009,184.0,Charleston
2010,159.4,Charleston
2011,159.5,Charleston
2012,202.5,Charleston
2013,202.5,Charleston
2014,259.9,Charleston
1964,0.0,Cordova
1965,-19.7,Cordova
1966,45.7,Cordova
1967,27.7,Cordova
1968,79.8,Cordova
1970,67.9,Cordova
1971,64.0,Cordova
1972,49.2,Cordova
1973,81.2,Cordova
1974,112.2,Cordova
1978,206.1,Cordova
1979,139.4,Cordova
1980,174.5,Cordova
1981,194.3,Cordova
1982,143.9,Cordova
1983,235.8,Cordova
1984,226.5,Cordova
1985,132.1,Cordova
1986,198.2,Cordova
1987,266.0,Cordova
1988,263.2,Cordova
1989,162.0,Cordova
1990,190.2,Cordova
1991,205.0,Cordova
1992,276.2,Cordova
1993,215.2,Cordova
1994,231.8,Cordova
1995,218.0,Cordova
1996,165.5,Cordova
1997,263.7,Cordova
1998,239.1,Cordova
1999,228.6,Cordova
2000,218.0,Cordova
2001,258.9,Cordova
2002,212.9,Cordova
2003,254.9,Cordova
2004,221.7,Cordova
2005,264.6,Cordova
2006,260.5,Cordova
2007,212.5,Cordova
2008,223.4,Cordova
2009,175.2,Cordova
2010,247.8,Cordova
2011,188.4,Cordova
2012,227.5,Cordova
2013,141.9,Cordova
2014,237.4,Cordova
1964,0.0,Crescent City
1965,49.5,Crescent City
1966,4.7,Crescent City
1967,-8.2,Crescent City
1968,0.0999999999999,Crescent City
1969,32.2,Crescent City
1970,-7.1,Crescent City
1971,-45.8,Crescent City
1972,27.7,Crescent City
1973,-18.8,Crescent City
1974,-24.6,Crescent City
1975,-67.7,Crescent City
1976,-32.9,Crescent City
1977,-34.9,Crescent City
1978,-1.8,Crescent City
1979,40.8,Crescent City
1980,-12.6,Crescent City
1981,-15.5,Crescent City
1982,36.2,Crescent City
1983,120.6,Crescent City
1984,-15.1,Crescent City
1985,-64.8,Crescent City
1986,-5.2,Crescent City
1987,-33.7,Crescent City
1988,-82.2,Crescent City
1989,-51.1,Crescent City
1990,-41.9,Crescent City
1991,-25.1,Crescent City
1992,61.0,Crescent City
1993,34.4,Crescent City
1994,-20.2,Crescent City
1995,26.9,Crescent City
1996,-15.6,Crescent City
1997,12.7,Crescent City
1998,17.9,Crescent City
1999,-72.2,Crescent City
2000,-54.9,Crescent City
2001,-77.3,Crescent City
2002,-48.8,Crescent City
2003,-17.0,Crescent City
