Latitude,Longitude,city,level
-0.68700, 73.15200, Gan, 41.6
-0.75200, -90.30700, Santa_Cruz_Galapagos, 71.9
-10.60000, 141.92000, Booby_Is., 184.5
-12.07100, -77.17400, Callao, 29.9
-12.11700, 96.88300, Cocos_Is._(Keeling), 143.8
-12.46700, 130.85000, Darwin, 152.1
-13.81700, -171.75000, Apia, 152.3
-13.83000, 136.50000, Groote_Eylandt, 171.3
-14.27700, -170.69100, Pago_Pago, 193.5
-17.53300, -149.56700, Papeete, 85.1
-17.75000, 168.28000, Port_Vila_VU_(Villa), 42.5
-18.00100, 122.21900, Broome, 143.2
-19.28000, 147.06000, Cape_Ferguson, 96.6
-19.66800, 63.41800, Rodrigues_MU_(Port_Mathurin), 165.8
-2.04200, 147.37000, Lombrum_Manus_Is., 131.4
-2.20900, -80.90200, La_Libertad, 58.7
-20.15500, 57.49500, Port_Louis, 78.0
-21.15000, -175.18000, "Tongatapu_(Nuku_alofa).csv"] , 174.6
-21.20000, -159.78300, Rarotonga, 59.3
-22.28500, 166.43300, Noumea, 57.0
-23.13300, -134.97000, Rikitea, 34.3
-23.17000, 150.78000, Rosslyn_Bay, 92.4
-23.65000, -70.41700, Antofagasta, -39.1
-24.77000, 152.38000, Burnett_Heads_(Bundaberg), 136.1
-26.25800, -80.12400, San_Felix, -102.2
-27.15300, -109.44800, Pascua_Is._(Easter_Is.), -37.1
-27.36700, 153.16700, Brisbane, 93.9
-31.83000, 115.74000, Hillarys, 164.4
-32.05000, 115.73300, Fremantle, 138.0
-32.14900, 133.64100, Thevenard, 96.7
-33.03300, -71.61700, Valparaiso, -47.3
-33.61700, -78.83300, Juan_Fernandez, 83.6
-33.85000, 151.23300, Fort_Denison_(Sydney), 77.4
-33.87100, 121.89500, Esperance, 107.2
-35.83300, 174.50000, Mardsen_Point, 145.2
-38.34300, 141.61300, Portland, 51.3
-39.05000, 174.03300, Taranaki, 118.5
-4.67200, 55.52800, Pointe_La_Rue_Mahe_Is._(Port_Victoria), 85.5
-41.05000, 145.92000, Burnie, 59.2
-41.28300, 174.78300, Wellington_Harbour, 115.7
-41.86000, -74.35000, Puerto_Montt, -19.7
-42.54600, 147.93300, Spring_Bay, 51.1
-51.70000, -57.82000, Port_Stanley, 87.8
-6.15000, 39.18300, Zanzibar, 85.7
-8.53300, 179.20000, Funafuti, 68.1
-9.01700, -158.06700, Penrhyn, 64.1
-9.43300, 159.95000, Honiara, 176.5
0.53300, 166.93000, Nauru, 179.1
1.35000, 172.91700, Betio_(Tarawa), 62.5
1.46700, 103.83300, Keppel_Harbour_(Tanjong_Pagar), 82.1
1.83000, -78.73300, Tumaco, 64.8
1.98300, -157.46700, Christmas_Is._(Line_Is.), 67.8
11.80000, 99.82000, Ko_Lak, 161.6
16.93500, 54.00700, Salalah, 41.0
17.76000, -64.75000, Lime_Tree_Bay_(St._Croix), 47.6
17.96700, -67.04700, Magueyes_Is., 60.7
18.33000, -64.92000, Charlotte_Amalie, 49.5
18.46200, -66.11700, San_Juan_Puerto_Rico, 47.7
19.28300, 166.61700, Wake_Is., 18.4
19.73000, -155.07000, Hilo, 71.4
20.89800, -156.46700, Kahului_Harbor, 55.9
21.30000, -157.86000, Honolulu, 36.4
21.43300, -157.78000, Mokuoloe_Is., 33.6
21.96700, -159.35000, Nawiliwili_Bay, 64.2
22.60000, 114.22000, Quarry_Bay_(Hong_Kong), 52.9
22.61700, 120.28300, Kaohsiung, 9.7
24.33300, 124.17000, Ishigaki, 8.6
24.55300, -81.80800, Key_West, 88.3
26.06000, -97.22000, Port_Isabel, 72.5
26.22000, 127.67000, Naha, 92.7
