year,level_norm,city,latitude,longtitude
1994,0.0,Pisco,-13.41700,-76.13300
1995,-31.1,Pisco,-13.41700,-76.13300
1996,-23.1,Pisco,-13.41700,-76.13300
1997,164.5,Pisco,-13.41700,-76.13300
1998,59.7,Pisco,-13.41700,-76.13300
1999,-19.6,Pisco,-13.41700,-76.13300
2000,-23.6,Pisco,-13.41700,-76.13300
2001,-42.7,Pisco,-13.41700,-76.13300
2002,26.1,Pisco,-13.41700,-76.13300
2003,-23.7,Pisco,-13.41700,-76.13300
2004,52.3,Pisco,-13.41700,-76.13300
2006,120.1,Pisco,-13.41700,-76.13300
2007,99.0,Pisco,-13.41700,-76.13300
2008,69.0,Pisco,-13.41700,-76.13300
2009,68.6,Pisco,-13.41700,-76.13300
2010,35.2,Pisco,-13.41700,-76.13300
2011,53.4,Pisco,-13.41700,-76.13300
2012,95.7,Pisco,-13.41700,-76.13300
2013,48.6,Pisco,-13.41700,-76.13300
2014,83.4,Pisco,-13.41700,-76.13300
