year,level_norm,city,latitude,longtitude
1994,0.0,Broome,-18.00100,122.21900
1995,39.0,Broome,-18.00100,122.21900
1996,105.5,Broome,-18.00100,122.21900
1997,4.4,Broome,-18.00100,122.21900
1998,92.4,Broome,-18.00100,122.21900
1999,171.3,Broome,-18.00100,122.21900
2000,198.7,Broome,-18.00100,122.21900
2001,159.7,Broome,-18.00100,122.21900
2002,57.7,Broome,-18.00100,122.21900
2003,78.1,Broome,-18.00100,122.21900
2004,80.9,Broome,-18.00100,122.21900
2005,94.0,Broome,-18.00100,122.21900
2006,97.5,Broome,-18.00100,122.21900
2007,125.2,Broome,-18.00100,122.21900
2008,177.0,Broome,-18.00100,122.21900
2009,138.3,Broome,-18.00100,122.21900
2010,180.3,Broome,-18.00100,122.21900
2011,207.0,Broome,-18.00100,122.21900
2012,194.1,Broome,-18.00100,122.21900
2013,229.0,Broome,-18.00100,122.21900
2014,143.2,Broome,-18.00100,122.21900
