year,level_norm,city,latitude,longtitude
1994,0.0,Rarotonga,-21.20000,-159.78300
1995,-39.4,Rarotonga,-21.20000,-159.78300
1996,23.2,Rarotonga,-21.20000,-159.78300
1997,39.9,Rarotonga,-21.20000,-159.78300
1998,-66.2,Rarotonga,-21.20000,-159.78300
1999,65.0,Rarotonga,-21.20000,-159.78300
2000,1.0,Rarotonga,-21.20000,-159.78300
2001,1.6,Rarotonga,-21.20000,-159.78300
2002,-7.7,Rarotonga,-21.20000,-159.78300
2003,1.2,Rarotonga,-21.20000,-159.78300
2004,-4.9,Rarotonga,-21.20000,-159.78300
2005,9.8,Rarotonga,-21.20000,-159.78300
2006,94.7,Rarotonga,-21.20000,-159.78300
2007,84.8,Rarotonga,-21.20000,-159.78300
2008,72.7,Rarotonga,-21.20000,-159.78300
2009,62.1,Rarotonga,-21.20000,-159.78300
2010,39.6,Rarotonga,-21.20000,-159.78300
2011,103.4,Rarotonga,-21.20000,-159.78300
2012,115.4,Rarotonga,-21.20000,-159.78300
2013,31.1,Rarotonga,-21.20000,-159.78300
2014,59.3,Rarotonga,-21.20000,-159.78300
