year,level_norm,city,latitude,longtitude
1994,0.0,Rikitea,-23.13300,-134.97000
1995,12.1,Rikitea,-23.13300,-134.97000
1996,58.9,Rikitea,-23.13300,-134.97000
1997,30.7,Rikitea,-23.13300,-134.97000
1998,5.6,Rikitea,-23.13300,-134.97000
1999,45.1,Rikitea,-23.13300,-134.97000
2000,1.9,Rikitea,-23.13300,-134.97000
2001,6.8,Rikitea,-23.13300,-134.97000
2002,35.6,Rikitea,-23.13300,-134.97000
2003,20.0,Rikitea,-23.13300,-134.97000
2004,-5.6,Rikitea,-23.13300,-134.97000
2005,49.9,Rikitea,-23.13300,-134.97000
2006,28.8,Rikitea,-23.13300,-134.97000
2007,21.0,Rikitea,-23.13300,-134.97000
2008,28.4,Rikitea,-23.13300,-134.97000
2009,50.4,Rikitea,-23.13300,-134.97000
2010,25.5,Rikitea,-23.13300,-134.97000
2011,57.2,Rikitea,-23.13300,-134.97000
2012,66.8,Rikitea,-23.13300,-134.97000
2013,9.6,Rikitea,-23.13300,-134.97000
2014,34.3,Rikitea,-23.13300,-134.97000
