year,level_norm,city,latitude,longtitude
1994,0.0,Burnett Heads (Bundaberg),-24.77000,152.38000
1995,4.3,Burnett Heads (Bundaberg),-24.77000,152.38000
1996,11.4,Burnett Heads (Bundaberg),-24.77000,152.38000
1997,-7.1,Burnett Heads (Bundaberg),-24.77000,152.38000
1998,39.4,Burnett Heads (Bundaberg),-24.77000,152.38000
1999,41.8,Burnett Heads (Bundaberg),-24.77000,152.38000
2000,24.2,Burnett Heads (Bundaberg),-24.77000,152.38000
2001,25.3,Burnett Heads (Bundaberg),-24.77000,152.38000
2002,-6.0,Burnett Heads (Bundaberg),-24.77000,152.38000
2003,30.4,Burnett Heads (Bundaberg),-24.77000,152.38000
2004,-0.5,Burnett Heads (Bundaberg),-24.77000,152.38000
2005,12.8,Burnett Heads (Bundaberg),-24.77000,152.38000
2006,-10.7,Burnett Heads (Bundaberg),-24.77000,152.38000
2007,13.3,Burnett Heads (Bundaberg),-24.77000,152.38000
2008,20.3,Burnett Heads (Bundaberg),-24.77000,152.38000
2009,25.1,Burnett Heads (Bundaberg),-24.77000,152.38000
2010,112.2,Burnett Heads (Bundaberg),-24.77000,152.38000
2011,85.0,Burnett Heads (Bundaberg),-24.77000,152.38000
2012,48.2,Burnett Heads (Bundaberg),-24.77000,152.38000
2013,117.3,Burnett Heads (Bundaberg),-24.77000,152.38000
2014,136.1,Burnett Heads (Bundaberg),-24.77000,152.38000
