year,level_norm,city,latitude,longtitude
1994,0.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
1995,27.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
1996,38.4,Pascua Is. (Easter Is.),-27.15300,-109.44800
1997,18.3,Pascua Is. (Easter Is.),-27.15300,-109.44800
1998,-16.7,Pascua Is. (Easter Is.),-27.15300,-109.44800
1999,6.9,Pascua Is. (Easter Is.),-27.15300,-109.44800
2000,58.8,Pascua Is. (Easter Is.),-27.15300,-109.44800
2001,70.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
2002,62.2,Pascua Is. (Easter Is.),-27.15300,-109.44800
2003,115.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
2004,82.5,Pascua Is. (Easter Is.),-27.15300,-109.44800
2005,129.4,Pascua Is. (Easter Is.),-27.15300,-109.44800
2006,99.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
2007,-24.1,Pascua Is. (Easter Is.),-27.15300,-109.44800
2008,-24.6,Pascua Is. (Easter Is.),-27.15300,-109.44800
2009,98.7,Pascua Is. (Easter Is.),-27.15300,-109.44800
2010,10.2,Pascua Is. (Easter Is.),-27.15300,-109.44800
2011,34.5,Pascua Is. (Easter Is.),-27.15300,-109.44800
2012,27.6,Pascua Is. (Easter Is.),-27.15300,-109.44800
2013,21.0,Pascua Is. (Easter Is.),-27.15300,-109.44800
2014,-37.1,Pascua Is. (Easter Is.),-27.15300,-109.44800
