year,level_norm,city,latitude,longtitude
1994,0.0,Hillarys,-31.83000,115.74000
1995,43.3,Hillarys,-31.83000,115.74000
1996,106.8,Hillarys,-31.83000,115.74000
1997,-9.2,Hillarys,-31.83000,115.74000
1998,53.8,Hillarys,-31.83000,115.74000
1999,171.3,Hillarys,-31.83000,115.74000
2000,158.0,Hillarys,-31.83000,115.74000
2001,104.3,Hillarys,-31.83000,115.74000
2002,44.5,Hillarys,-31.83000,115.74000
2003,63.3,Hillarys,-31.83000,115.74000
2004,68.4,Hillarys,-31.83000,115.74000
2005,88.4,Hillarys,-31.83000,115.74000
2006,96.1,Hillarys,-31.83000,115.74000
2007,122.4,Hillarys,-31.83000,115.74000
2008,191.1,Hillarys,-31.83000,115.74000
2009,133.7,Hillarys,-31.83000,115.74000
2010,131.8,Hillarys,-31.83000,115.74000
2011,262.4,Hillarys,-31.83000,115.74000
2012,235.6,Hillarys,-31.83000,115.74000
2013,238.1,Hillarys,-31.83000,115.74000
2014,164.4,Hillarys,-31.83000,115.74000
