year,level_norm,city,latitude,longtitude
1994,0.0,Fremantle,-32.05000,115.73300
1995,60.1,Fremantle,-32.05000,115.73300
1996,136.1,Fremantle,-32.05000,115.73300
1997,17.3,Fremantle,-32.05000,115.73300
1998,58.1,Fremantle,-32.05000,115.73300
1999,190.3,Fremantle,-32.05000,115.73300
2000,166.3,Fremantle,-32.05000,115.73300
2001,93.6,Fremantle,-32.05000,115.73300
2002,29.7,Fremantle,-32.05000,115.73300
2003,55.8,Fremantle,-32.05000,115.73300
2004,57.3,Fremantle,-32.05000,115.73300
2005,74.9,Fremantle,-32.05000,115.73300
2006,67.4,Fremantle,-32.05000,115.73300
2007,92.0,Fremantle,-32.05000,115.73300
2008,172.2,Fremantle,-32.05000,115.73300
2009,120.9,Fremantle,-32.05000,115.73300
2010,112.4,Fremantle,-32.05000,115.73300
2011,239.4,Fremantle,-32.05000,115.73300
2012,209.3,Fremantle,-32.05000,115.73300
2013,209.4,Fremantle,-32.05000,115.73300
2014,138.0,Fremantle,-32.05000,115.73300
