year,level_norm,city,latitude,longtitude
1994,0.0,Port Elizabeth,-33.96700,25.63300
1995,59.5,Port Elizabeth,-33.96700,25.63300
1997,178.5,Port Elizabeth,-33.96700,25.63300
1998,57.9,Port Elizabeth,-33.96700,25.63300
2000,82.8,Port Elizabeth,-33.96700,25.63300
2001,95.8,Port Elizabeth,-33.96700,25.63300
2002,66.6,Port Elizabeth,-33.96700,25.63300
2003,120.8,Port Elizabeth,-33.96700,25.63300
2004,101.1,Port Elizabeth,-33.96700,25.63300
2005,78.8,Port Elizabeth,-33.96700,25.63300
2006,49.7,Port Elizabeth,-33.96700,25.63300
2007,85.4,Port Elizabeth,-33.96700,25.63300
2008,58.3,Port Elizabeth,-33.96700,25.63300
2009,63.0,Port Elizabeth,-33.96700,25.63300
2010,64.2,Port Elizabeth,-33.96700,25.63300
2011,76.5,Port Elizabeth,-33.96700,25.63300
2012,97.5,Port Elizabeth,-33.96700,25.63300
2013,95.8,Port Elizabeth,-33.96700,25.63300
2014,88.8,Port Elizabeth,-33.96700,25.63300
