year,level_norm,city,latitude,longtitude
1994,0.0,Funafuti,-8.53300,179.20000
1995,10.9,Funafuti,-8.53300,179.20000
1996,9.0,Funafuti,-8.53300,179.20000
1997,-43.3,Funafuti,-8.53300,179.20000
1998,-226.6,Funafuti,-8.53300,179.20000
1999,0.3,Funafuti,-8.53300,179.20000
2000,23.1,Funafuti,-8.53300,179.20000
2001,6.4,Funafuti,-8.53300,179.20000
2002,41.5,Funafuti,-8.53300,179.20000
2003,17.8,Funafuti,-8.53300,179.20000
2004,24.6,Funafuti,-8.53300,179.20000
2005,15.3,Funafuti,-8.53300,179.20000
2006,19.4,Funafuti,-8.53300,179.20000
2007,43.6,Funafuti,-8.53300,179.20000
2008,27.9,Funafuti,-8.53300,179.20000
2009,15.3,Funafuti,-8.53300,179.20000
2010,-15.0,Funafuti,-8.53300,179.20000
2011,36.6,Funafuti,-8.53300,179.20000
2012,26.0,Funafuti,-8.53300,179.20000
2013,44.2,Funafuti,-8.53300,179.20000
2014,68.1,Funafuti,-8.53300,179.20000
