year,level_norm,city,latitude,longtitude
1994,0.0,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
1995,62.2,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
1996,18.1,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
1997,89.7,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2004,71.8,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2005,109.0,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2006,74.2,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2007,100.7,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2008,24.2,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2009,66.4,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2010,86.6,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2011,5.5,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2012,75.1,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2013,117.1,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
2014,124.2,Nuku Hiva (Marquesas Is.),-8.92200,-140.09500
