year,level_norm,city,latitude,longtitude
1994,0.0,Betio (Tarawa),1.35000,172.91700
1995,-82.1,Betio (Tarawa),1.35000,172.91700
1996,-56.6,Betio (Tarawa),1.35000,172.91700
1997,-14.2,Betio (Tarawa),1.35000,172.91700
1998,-211.3,Betio (Tarawa),1.35000,172.91700
1999,-94.8,Betio (Tarawa),1.35000,172.91700
2000,-52.5,Betio (Tarawa),1.35000,172.91700
2001,-10.8,Betio (Tarawa),1.35000,172.91700
2002,29.5,Betio (Tarawa),1.35000,172.91700
2003,-37.3,Betio (Tarawa),1.35000,172.91700
2004,29.5,Betio (Tarawa),1.35000,172.91700
2005,-22.9,Betio (Tarawa),1.35000,172.91700
2006,7.6,Betio (Tarawa),1.35000,172.91700
2007,-48.9,Betio (Tarawa),1.35000,172.91700
2008,-71.3,Betio (Tarawa),1.35000,172.91700
2009,27.0,Betio (Tarawa),1.35000,172.91700
2010,-76.5,Betio (Tarawa),1.35000,172.91700
2011,-11.2,Betio (Tarawa),1.35000,172.91700
2012,16.2,Betio (Tarawa),1.35000,172.91700
2013,-5.3,Betio (Tarawa),1.35000,172.91700
2014,62.5,Betio (Tarawa),1.35000,172.91700
