year,level_norm,city,latitude,longtitude
1994,0.0,Legaspi (Albay),13.16100,123.75800
1995,-32.7,Legaspi (Albay),13.16100,123.75800
1997,-28.6,Legaspi (Albay),13.16100,123.75800
1998,24.5,Legaspi (Albay),13.16100,123.75800
1999,113.7,Legaspi (Albay),13.16100,123.75800
2000,113.1,Legaspi (Albay),13.16100,123.75800
2001,104.6,Legaspi (Albay),13.16100,123.75800
2002,42.3,Legaspi (Albay),13.16100,123.75800
2003,82.4,Legaspi (Albay),13.16100,123.75800
2004,63.3,Legaspi (Albay),13.16100,123.75800
2005,59.3,Legaspi (Albay),13.16100,123.75800
2006,126.0,Legaspi (Albay),13.16100,123.75800
2007,47.4,Legaspi (Albay),13.16100,123.75800
2008,146.6,Legaspi (Albay),13.16100,123.75800
2009,107.5,Legaspi (Albay),13.16100,123.75800
2010,78.8,Legaspi (Albay),13.16100,123.75800
2011,131.4,Legaspi (Albay),13.16100,123.75800
2012,174.4,Legaspi (Albay),13.16100,123.75800
2013,153.8,Legaspi (Albay),13.16100,123.75800
2014,72.7,Legaspi (Albay),13.16100,123.75800
