year,level_norm,city,latitude,longtitude
1994,0.0,Manila,14.64000,121.08000
1995,-29.4,Manila,14.64000,121.08000
1996,71.4,Manila,14.64000,121.08000
1997,4.5,Manila,14.64000,121.08000
1998,37.9,Manila,14.64000,121.08000
1999,133.1,Manila,14.64000,121.08000
2000,163.5,Manila,14.64000,121.08000
2001,209.9,Manila,14.64000,121.08000
2002,99.9,Manila,14.64000,121.08000
2004,37.3,Manila,14.64000,121.08000
2005,144.6,Manila,14.64000,121.08000
2006,159.1,Manila,14.64000,121.08000
2007,129.2,Manila,14.64000,121.08000
2008,195.1,Manila,14.64000,121.08000
2009,223.8,Manila,14.64000,121.08000
2010,197.8,Manila,14.64000,121.08000
2011,231.2,Manila,14.64000,121.08000
2012,267.9,Manila,14.64000,121.08000
2013,274.9,Manila,14.64000,121.08000
2014,203.9,Manila,14.64000,121.08000
