year,level_norm,city,latitude,longtitude
1994,0.0,Saipan,15.22700,145.74200
1995,-88.9,Saipan,15.22700,145.74200
1996,-4.4,Saipan,15.22700,145.74200
1997,-154.6,Saipan,15.22700,145.74200
1998,-44.9,Saipan,15.22700,145.74200
1999,45.5,Saipan,15.22700,145.74200
2000,39.2,Saipan,15.22700,145.74200
2001,20.3,Saipan,15.22700,145.74200
2002,4.6,Saipan,15.22700,145.74200
2003,-23.9,Saipan,15.22700,145.74200
2004,-41.1,Saipan,15.22700,145.74200
2005,-108.2,Saipan,15.22700,145.74200
2007,72.7,Saipan,15.22700,145.74200
2008,120.7,Saipan,15.22700,145.74200
2009,50.8,Saipan,15.22700,145.74200
2010,13.2,Saipan,15.22700,145.74200
2011,28.4,Saipan,15.22700,145.74200
2012,64.9,Saipan,15.22700,145.74200
2013,83.0,Saipan,15.22700,145.74200
2014,22.3,Saipan,15.22700,145.74200
