year,level_norm,city,latitude,longtitude
1994,0.0,Magueyes Is.,17.96700,-67.04700
1995,-42.3,Magueyes Is.,17.96700,-67.04700
1996,-43.0,Magueyes Is.,17.96700,-67.04700
1997,-21.3,Magueyes Is.,17.96700,-67.04700
1998,10.4,Magueyes Is.,17.96700,-67.04700
1999,-45.5,Magueyes Is.,17.96700,-67.04700
2000,-41.0,Magueyes Is.,17.96700,-67.04700
2001,15.2,Magueyes Is.,17.96700,-67.04700
2002,-13.6,Magueyes Is.,17.96700,-67.04700
2003,17.3,Magueyes Is.,17.96700,-67.04700
2004,-18.8,Magueyes Is.,17.96700,-67.04700
2005,-6.7,Magueyes Is.,17.96700,-67.04700
2006,4.7,Magueyes Is.,17.96700,-67.04700
2007,20.5,Magueyes Is.,17.96700,-67.04700
2008,19.4,Magueyes Is.,17.96700,-67.04700
2009,-29.3,Magueyes Is.,17.96700,-67.04700
2010,24.1,Magueyes Is.,17.96700,-67.04700
2011,8.6,Magueyes Is.,17.96700,-67.04700
2012,55.6,Magueyes Is.,17.96700,-67.04700
2013,25.5,Magueyes Is.,17.96700,-67.04700
2014,60.7,Magueyes Is.,17.96700,-67.04700
