year,level_norm,city,latitude,longtitude
1994,0.0,Charlotte Amalie,18.33000,-64.92000
1995,-50.3,Charlotte Amalie,18.33000,-64.92000
1996,-58.5,Charlotte Amalie,18.33000,-64.92000
1997,-22.5,Charlotte Amalie,18.33000,-64.92000
1998,0.9,Charlotte Amalie,18.33000,-64.92000
1999,-54.5,Charlotte Amalie,18.33000,-64.92000
2000,-51.2,Charlotte Amalie,18.33000,-64.92000
2001,9.1,Charlotte Amalie,18.33000,-64.92000
2002,-30.6,Charlotte Amalie,18.33000,-64.92000
2003,10.6,Charlotte Amalie,18.33000,-64.92000
2004,-32.0,Charlotte Amalie,18.33000,-64.92000
2005,-8.3,Charlotte Amalie,18.33000,-64.92000
2006,33.2,Charlotte Amalie,18.33000,-64.92000
2007,9.0,Charlotte Amalie,18.33000,-64.92000
2008,9.1,Charlotte Amalie,18.33000,-64.92000
2009,-45.8,Charlotte Amalie,18.33000,-64.92000
2010,23.5,Charlotte Amalie,18.33000,-64.92000
2011,4.2,Charlotte Amalie,18.33000,-64.92000
2012,47.1,Charlotte Amalie,18.33000,-64.92000
2013,12.2,Charlotte Amalie,18.33000,-64.92000
2014,49.5,Charlotte Amalie,18.33000,-64.92000
