year,level_norm,city,latitude,longtitude
1994,0.0,Kawaihae,20.03300,-155.83000
1995,25.7,Kawaihae,20.03300,-155.83000
1996,57.5,Kawaihae,20.03300,-155.83000
1997,51.3,Kawaihae,20.03300,-155.83000
1999,19.2,Kawaihae,20.03300,-155.83000
2000,-43.3,Kawaihae,20.03300,-155.83000
2001,41.1,Kawaihae,20.03300,-155.83000
2002,29.8,Kawaihae,20.03300,-155.83000
2003,47.2,Kawaihae,20.03300,-155.83000
2004,118.2,Kawaihae,20.03300,-155.83000
2005,77.3,Kawaihae,20.03300,-155.83000
2006,78.1,Kawaihae,20.03300,-155.83000
2007,146.4,Kawaihae,20.03300,-155.83000
2008,140.1,Kawaihae,20.03300,-155.83000
2009,89.5,Kawaihae,20.03300,-155.83000
2010,125.9,Kawaihae,20.03300,-155.83000
2011,125.6,Kawaihae,20.03300,-155.83000
2012,100.1,Kawaihae,20.03300,-155.83000
2013,132.0,Kawaihae,20.03300,-155.83000
2014,163.6,Kawaihae,20.03300,-155.83000
