year,level_norm,city,latitude,longtitude
1994,0.0,Mokuoloe Is.,21.43300,-157.78000
1995,43.3,Mokuoloe Is.,21.43300,-157.78000
1996,41.8,Mokuoloe Is.,21.43300,-157.78000
1997,31.5,Mokuoloe Is.,21.43300,-157.78000
1998,-39.6,Mokuoloe Is.,21.43300,-157.78000
1999,-12.8,Mokuoloe Is.,21.43300,-157.78000
2000,-40.7,Mokuoloe Is.,21.43300,-157.78000
2001,-13.8,Mokuoloe Is.,21.43300,-157.78000
2002,-12.1,Mokuoloe Is.,21.43300,-157.78000
2003,59.3,Mokuoloe Is.,21.43300,-157.78000
2004,62.9,Mokuoloe Is.,21.43300,-157.78000
2005,24.5,Mokuoloe Is.,21.43300,-157.78000
2006,58.9,Mokuoloe Is.,21.43300,-157.78000
2007,21.3,Mokuoloe Is.,21.43300,-157.78000
2008,29.9,Mokuoloe Is.,21.43300,-157.78000
2009,-19.9,Mokuoloe Is.,21.43300,-157.78000
2010,5.7,Mokuoloe Is.,21.43300,-157.78000
2011,5.3,Mokuoloe Is.,21.43300,-157.78000
2012,3.7,Mokuoloe Is.,21.43300,-157.78000
2013,14.7,Mokuoloe Is.,21.43300,-157.78000
2014,33.6,Mokuoloe Is.,21.43300,-157.78000
