year,level_norm,city,latitude,longtitude
1994,0.0,Quarry Bay (Hong Kong),22.60000,114.22000
1995,-19.8,Quarry Bay (Hong Kong),22.60000,114.22000
1996,18.9,Quarry Bay (Hong Kong),22.60000,114.22000
1997,16.9,Quarry Bay (Hong Kong),22.60000,114.22000
1998,7.8,Quarry Bay (Hong Kong),22.60000,114.22000
1999,87.7,Quarry Bay (Hong Kong),22.60000,114.22000
2000,47.5,Quarry Bay (Hong Kong),22.60000,114.22000
2001,54.3,Quarry Bay (Hong Kong),22.60000,114.22000
2002,0.6,Quarry Bay (Hong Kong),22.60000,114.22000
2003,6.8,Quarry Bay (Hong Kong),22.60000,114.22000
2004,-29.0,Quarry Bay (Hong Kong),22.60000,114.22000
2005,10.2,Quarry Bay (Hong Kong),22.60000,114.22000
2006,-7.4,Quarry Bay (Hong Kong),22.60000,114.22000
2007,-56.6,Quarry Bay (Hong Kong),22.60000,114.22000
2008,-20.5,Quarry Bay (Hong Kong),22.60000,114.22000
2009,58.8,Quarry Bay (Hong Kong),22.60000,114.22000
2010,4.8,Quarry Bay (Hong Kong),22.60000,114.22000
2011,67.7,Quarry Bay (Hong Kong),22.60000,114.22000
2012,56.1,Quarry Bay (Hong Kong),22.60000,114.22000
2013,28.2,Quarry Bay (Hong Kong),22.60000,114.22000
2014,52.9,Quarry Bay (Hong Kong),22.60000,114.22000
