year,level_norm,city,latitude,longtitude
1994,0.0,Keelung,25.15000,121.75000
1995,-20.8,Keelung,25.15000,121.75000
1996,-15.7,Keelung,25.15000,121.75000
1997,26.8,Keelung,25.15000,121.75000
1998,-62.8,Keelung,25.15000,121.75000
1999,127.3,Keelung,25.15000,121.75000
2000,91.0,Keelung,25.15000,121.75000
2003,-28.7,Keelung,25.15000,121.75000
2004,-76.7,Keelung,25.15000,121.75000
2005,6.9,Keelung,25.15000,121.75000
2006,26.3,Keelung,25.15000,121.75000
2007,14.3,Keelung,25.15000,121.75000
2008,10.2,Keelung,25.15000,121.75000
2009,-5.9,Keelung,25.15000,121.75000
2010,-2.9,Keelung,25.15000,121.75000
2011,-15.4,Keelung,25.15000,121.75000
2012,42.0,Keelung,25.15000,121.75000
2013,13.1,Keelung,25.15000,121.75000
2014,-1.2,Keelung,25.15000,121.75000
