year,level_norm,city,latitude,longtitude
1994,0.0,Port Isabel,26.06000,-97.22000
1995,38.2,Port Isabel,26.06000,-97.22000
1996,2.7,Port Isabel,26.06000,-97.22000
1997,34.0,Port Isabel,26.06000,-97.22000
1998,63.2,Port Isabel,26.06000,-97.22000
1999,49.9,Port Isabel,26.06000,-97.22000
2000,32.6,Port Isabel,26.06000,-97.22000
2001,26.4,Port Isabel,26.06000,-97.22000
2002,79.3,Port Isabel,26.06000,-97.22000
2003,66.7,Port Isabel,26.06000,-97.22000
2004,61.7,Port Isabel,26.06000,-97.22000
2005,89.6,Port Isabel,26.06000,-97.22000
2006,15.2,Port Isabel,26.06000,-97.22000
2007,91.4,Port Isabel,26.06000,-97.22000
2008,98.7,Port Isabel,26.06000,-97.22000
2009,88.2,Port Isabel,26.06000,-97.22000
2010,88.5,Port Isabel,26.06000,-97.22000
2011,73.3,Port Isabel,26.06000,-97.22000
2012,166.5,Port Isabel,26.06000,-97.22000
2013,94.9,Port Isabel,26.06000,-97.22000
2014,72.5,Port Isabel,26.06000,-97.22000
