year,level_norm,city,latitude,longtitude
1994,0.0,Rockport,28.02000,-97.05000
1995,62.6,Rockport,28.02000,-97.05000
1996,-0.8,Rockport,28.02000,-97.05000
1997,60.3,Rockport,28.02000,-97.05000
1998,109.0,Rockport,28.02000,-97.05000
1999,82.4,Rockport,28.02000,-97.05000
2000,54.0,Rockport,28.02000,-97.05000
2001,73.9,Rockport,28.02000,-97.05000
2002,151.0,Rockport,28.02000,-97.05000
2003,113.0,Rockport,28.02000,-97.05000
2004,126.8,Rockport,28.02000,-97.05000
2005,130.8,Rockport,28.02000,-97.05000
2006,61.9,Rockport,28.02000,-97.05000
2007,173.6,Rockport,28.02000,-97.05000
2008,145.0,Rockport,28.02000,-97.05000
2009,125.2,Rockport,28.02000,-97.05000
2010,159.3,Rockport,28.02000,-97.05000
2011,107.9,Rockport,28.02000,-97.05000
2012,156.4,Rockport,28.02000,-97.05000
2013,175.1,Rockport,28.02000,-97.05000
2014,148.8,Rockport,28.02000,-97.05000
