year,level_norm,city,latitude,longtitude
1994,0.0,Midway Is. (Sand Is.),28.21700,-177.36700
1995,26.3,Midway Is. (Sand Is.),28.21700,-177.36700
1996,-3.1,Midway Is. (Sand Is.),28.21700,-177.36700
1997,-72.9,Midway Is. (Sand Is.),28.21700,-177.36700
1998,40.8,Midway Is. (Sand Is.),28.21700,-177.36700
1999,22.2,Midway Is. (Sand Is.),28.21700,-177.36700
2000,67.7,Midway Is. (Sand Is.),28.21700,-177.36700
2001,51.0,Midway Is. (Sand Is.),28.21700,-177.36700
2002,44.8,Midway Is. (Sand Is.),28.21700,-177.36700
2003,56.9,Midway Is. (Sand Is.),28.21700,-177.36700
2004,59.4,Midway Is. (Sand Is.),28.21700,-177.36700
2005,1.2,Midway Is. (Sand Is.),28.21700,-177.36700
2006,31.5,Midway Is. (Sand Is.),28.21700,-177.36700
2007,27.1,Midway Is. (Sand Is.),28.21700,-177.36700
2008,77.5,Midway Is. (Sand Is.),28.21700,-177.36700
2009,88.5,Midway Is. (Sand Is.),28.21700,-177.36700
2010,80.5,Midway Is. (Sand Is.),28.21700,-177.36700
2011,5.5,Midway Is. (Sand Is.),28.21700,-177.36700
2012,126.9,Midway Is. (Sand Is.),28.21700,-177.36700
2013,87.5,Midway Is. (Sand Is.),28.21700,-177.36700
2014,99.7,Midway Is. (Sand Is.),28.21700,-177.36700
