year,level_norm,city,latitude,longtitude
1994,0.0,Galveston (Pier 21),29.33000,-94.74000
1995,19.2,Galveston (Pier 21),29.33000,-94.74000
1996,-50.5,Galveston (Pier 21),29.33000,-94.74000
1997,-4.9,Galveston (Pier 21),29.33000,-94.74000
1998,41.6,Galveston (Pier 21),29.33000,-94.74000
1999,8.3,Galveston (Pier 21),29.33000,-94.74000
2000,-25.2,Galveston (Pier 21),29.33000,-94.74000
2001,11.7,Galveston (Pier 21),29.33000,-94.74000
2002,52.4,Galveston (Pier 21),29.33000,-94.74000
2003,26.1,Galveston (Pier 21),29.33000,-94.74000
2004,39.6,Galveston (Pier 21),29.33000,-94.74000
2005,31.1,Galveston (Pier 21),29.33000,-94.74000
2006,-37.7,Galveston (Pier 21),29.33000,-94.74000
2007,61.7,Galveston (Pier 21),29.33000,-94.74000
2008,46.5,Galveston (Pier 21),29.33000,-94.74000
2009,27.7,Galveston (Pier 21),29.33000,-94.74000
2010,76.1,Galveston (Pier 21),29.33000,-94.74000
2011,25.1,Galveston (Pier 21),29.33000,-94.74000
2012,90.2,Galveston (Pier 21),29.33000,-94.74000
2013,96.5,Galveston (Pier 21),29.33000,-94.74000
2014,78.2,Galveston (Pier 21),29.33000,-94.74000
