year,level_norm,city,latitude,longtitude
1994,0.0,Sabine Pass,29.73000,-93.87000
1995,29.8,Sabine Pass,29.73000,-93.87000
1996,-69.0,Sabine Pass,29.73000,-93.87000
1997,-15.4,Sabine Pass,29.73000,-93.87000
1998,36.0,Sabine Pass,29.73000,-93.87000
1999,-2.0,Sabine Pass,29.73000,-93.87000
2000,-66.7,Sabine Pass,29.73000,-93.87000
2001,8.1,Sabine Pass,29.73000,-93.87000
2002,48.8,Sabine Pass,29.73000,-93.87000
2003,3.0,Sabine Pass,29.73000,-93.87000
2004,32.9,Sabine Pass,29.73000,-93.87000
2005,30.2,Sabine Pass,29.73000,-93.87000
2006,-34.9,Sabine Pass,29.73000,-93.87000
2007,68.0,Sabine Pass,29.73000,-93.87000
2008,114.9,Sabine Pass,29.73000,-93.87000
2009,16.8,Sabine Pass,29.73000,-93.87000
2010,50.7,Sabine Pass,29.73000,-93.87000
2011,-6.8,Sabine Pass,29.73000,-93.87000
2012,81.5,Sabine Pass,29.73000,-93.87000
2013,93.4,Sabine Pass,29.73000,-93.87000
2014,55.8,Sabine Pass,29.73000,-93.87000
