year,level_norm,city,latitude,longtitude
1994,0.0,Aburatsu,31.56700,131.41700
1995,-51.4,Aburatsu,31.56700,131.41700
1996,-43.3,Aburatsu,31.56700,131.41700
1997,-26.1,Aburatsu,31.56700,131.41700
1998,2.0,Aburatsu,31.56700,131.41700
1999,23.3,Aburatsu,31.56700,131.41700
2000,-27.8,Aburatsu,31.56700,131.41700
2001,14.8,Aburatsu,31.56700,131.41700
2002,27.4,Aburatsu,31.56700,131.41700
2003,19.4,Aburatsu,31.56700,131.41700
2004,19.2,Aburatsu,31.56700,131.41700
2005,-42.9,Aburatsu,31.56700,131.41700
2006,18.2,Aburatsu,31.56700,131.41700
2007,-10.5,Aburatsu,31.56700,131.41700
2008,-6.0,Aburatsu,31.56700,131.41700
2009,9.3,Aburatsu,31.56700,131.41700
2010,23.4,Aburatsu,31.56700,131.41700
2011,33.9,Aburatsu,31.56700,131.41700
2012,71.4,Aburatsu,31.56700,131.41700
2013,18.4,Aburatsu,31.56700,131.41700
2014,41.6,Aburatsu,31.56700,131.41700
