year,level_norm,city,latitude,longtitude
1994,0.0,Charleston,32.78200,-79.92500
1995,54.2,Charleston,32.78200,-79.92500
1996,-31.6,Charleston,32.78200,-79.92500
1997,26.6,Charleston,32.78200,-79.92500
1998,-2.3,Charleston,32.78200,-79.92500
1999,67.8,Charleston,32.78200,-79.92500
2000,37.8,Charleston,32.78200,-79.92500
2001,3.3,Charleston,32.78200,-79.92500
2002,19.0,Charleston,32.78200,-79.92500
2003,-0.5,Charleston,32.78200,-79.92500
2004,-17.5,Charleston,32.78200,-79.92500
2005,53.1,Charleston,32.78200,-79.92500
2006,8.2,Charleston,32.78200,-79.92500
2007,39.4,Charleston,32.78200,-79.92500
2008,15.2,Charleston,32.78200,-79.92500
2009,53.6,Charleston,32.78200,-79.92500
2010,29.0,Charleston,32.78200,-79.92500
2011,29.1,Charleston,32.78200,-79.92500
2012,72.1,Charleston,32.78200,-79.92500
2013,72.1,Charleston,32.78200,-79.92500
2014,129.5,Charleston,32.78200,-79.92500
