year,level_norm,city,latitude,longtitude
1994,0.0,La Jolla,32.86700,-117.25000
1995,11.8,La Jolla,32.86700,-117.25000
1996,3.7,La Jolla,32.86700,-117.25000
1997,108.5,La Jolla,32.86700,-117.25000
1998,47.5,La Jolla,32.86700,-117.25000
1999,-25.2,La Jolla,32.86700,-117.25000
2000,-3.2,La Jolla,32.86700,-117.25000
2001,-6.4,La Jolla,32.86700,-117.25000
2002,0.9,La Jolla,32.86700,-117.25000
2003,24.1,La Jolla,32.86700,-117.25000
2004,45.7,La Jolla,32.86700,-117.25000
2005,39.8,La Jolla,32.86700,-117.25000
2006,19.9,La Jolla,32.86700,-117.25000
2008,23.8,La Jolla,32.86700,-117.25000
2009,36.1,La Jolla,32.86700,-117.25000
2010,20.5,La Jolla,32.86700,-117.25000
2011,40.3,La Jolla,32.86700,-117.25000
2012,70.0,La Jolla,32.86700,-117.25000
2013,55.0,La Jolla,32.86700,-117.25000
2014,138.4,La Jolla,32.86700,-117.25000
