year,level_norm,city,latitude,longtitude
1994,0.0,Kushimoto,33.13000,135.78000
1995,-19.7,Kushimoto,33.13000,135.78000
1996,-41.5,Kushimoto,33.13000,135.78000
1997,-33.5,Kushimoto,33.13000,135.78000
1998,12.4,Kushimoto,33.13000,135.78000
1999,27.2,Kushimoto,33.13000,135.78000
2000,-41.4,Kushimoto,33.13000,135.78000
2001,-22.7,Kushimoto,33.13000,135.78000
2002,44.2,Kushimoto,33.13000,135.78000
2003,53.4,Kushimoto,33.13000,135.78000
2004,53.5,Kushimoto,33.13000,135.78000
2005,-21.2,Kushimoto,33.13000,135.78000
2006,66.4,Kushimoto,33.13000,135.78000
2007,46.4,Kushimoto,33.13000,135.78000
2008,37.4,Kushimoto,33.13000,135.78000
2009,55.2,Kushimoto,33.13000,135.78000
2010,87.8,Kushimoto,33.13000,135.78000
2011,82.2,Kushimoto,33.13000,135.78000
2012,122.9,Kushimoto,33.13000,135.78000
2013,73.8,Kushimoto,33.13000,135.78000
2014,99.1,Kushimoto,33.13000,135.78000
