year,level_norm,city,latitude,longtitude
1994,0.0,Tokai,33.13300,137.10000
1995,-6.1,Tokai,33.13300,137.10000
1996,24.8,Tokai,33.13300,137.10000
1997,-16.2,Tokai,33.13300,137.10000
1998,43.2,Tokai,33.13300,137.10000
1999,39.1,Tokai,33.13300,137.10000
2000,58.7,Tokai,33.13300,137.10000
2001,99.0,Tokai,33.13300,137.10000
2002,45.4,Tokai,33.13300,137.10000
2003,38.9,Tokai,33.13300,137.10000
2004,40.4,Tokai,33.13300,137.10000
2005,51.9,Tokai,33.13300,137.10000
2006,35.4,Tokai,33.13300,137.10000
2007,57.1,Tokai,33.13300,137.10000
2008,51.5,Tokai,33.13300,137.10000
2009,56.6,Tokai,33.13300,137.10000
2010,58.6,Tokai,33.13300,137.10000
2011,79.0,Tokai,33.13300,137.10000
2012,63.7,Tokai,33.13300,137.10000
2013,117.2,Tokai,33.13300,137.10000
2014,90.2,Tokai,33.13300,137.10000
