year,level_norm,city,latitude,longtitude
1994,0.0,Maisaka,34.68300,137.61700
1995,-10.3,Maisaka,34.68300,137.61700
1996,-56.4,Maisaka,34.68300,137.61700
1997,-21.7,Maisaka,34.68300,137.61700
1998,27.7,Maisaka,34.68300,137.61700
1999,48.1,Maisaka,34.68300,137.61700
2000,48.1,Maisaka,34.68300,137.61700
2001,25.2,Maisaka,34.68300,137.61700
2002,4.4,Maisaka,34.68300,137.61700
2003,14.6,Maisaka,34.68300,137.61700
2004,68.2,Maisaka,34.68300,137.61700
2005,-40.5,Maisaka,34.68300,137.61700
2006,-93.4,Maisaka,34.68300,137.61700
2007,-30.2,Maisaka,34.68300,137.61700
2008,-31.5,Maisaka,34.68300,137.61700
2009,-32.8,Maisaka,34.68300,137.61700
2010,-17.7,Maisaka,34.68300,137.61700
2011,-14.9,Maisaka,34.68300,137.61700
2012,19.4,Maisaka,34.68300,137.61700
2013,27.8,Maisaka,34.68300,137.61700
2014,-49.3,Maisaka,34.68300,137.61700
