year,level_norm,city,latitude,longtitude
1996,0.0,Port San Luis,35.17000,-120.75000
1997,93.7,Port San Luis,35.17000,-120.75000
1998,44.9,Port San Luis,35.17000,-120.75000
1999,-29.4,Port San Luis,35.17000,-120.75000
2000,-7.0,Port San Luis,35.17000,-120.75000
2001,8.4,Port San Luis,35.17000,-120.75000
2002,8.6,Port San Luis,35.17000,-120.75000
2003,25.0,Port San Luis,35.17000,-120.75000
2004,33.8,Port San Luis,35.17000,-120.75000
2005,35.7,Port San Luis,35.17000,-120.75000
2006,31.2,Port San Luis,35.17000,-120.75000
2007,-13.0,Port San Luis,35.17000,-120.75000
2008,19.9,Port San Luis,35.17000,-120.75000
2009,34.8,Port San Luis,35.17000,-120.75000
2010,16.5,Port San Luis,35.17000,-120.75000
2011,16.0,Port San Luis,35.17000,-120.75000
2012,28.1,Port San Luis,35.17000,-120.75000
2013,23.4,Port San Luis,35.17000,-120.75000
2014,95.3,Port San Luis,35.17000,-120.75000
