year,level_norm,city,latitude,longtitude
1994,0.0,Duck Pier,35.18300,-75.75000
1995,27.9,Duck Pier,35.18300,-75.75000
1996,68.1,Duck Pier,35.18300,-75.75000
1997,87.3,Duck Pier,35.18300,-75.75000
1998,120.7,Duck Pier,35.18300,-75.75000
1999,82.5,Duck Pier,35.18300,-75.75000
2000,43.7,Duck Pier,35.18300,-75.75000
2001,66.5,Duck Pier,35.18300,-75.75000
2002,51.4,Duck Pier,35.18300,-75.75000
2003,83.6,Duck Pier,35.18300,-75.75000
2004,73.5,Duck Pier,35.18300,-75.75000
2005,135.3,Duck Pier,35.18300,-75.75000
2006,94.3,Duck Pier,35.18300,-75.75000
2007,63.1,Duck Pier,35.18300,-75.75000
2008,83.7,Duck Pier,35.18300,-75.75000
2009,151.3,Duck Pier,35.18300,-75.75000
2010,166.1,Duck Pier,35.18300,-75.75000
2011,122.2,Duck Pier,35.18300,-75.75000
2012,140.1,Duck Pier,35.18300,-75.75000
2013,118.9,Duck Pier,35.18300,-75.75000
2014,143.7,Duck Pier,35.18300,-75.75000
