year,level_norm,city,latitude,longtitude
1994,0.0,Lewes,38.78000,-75.10000
1995,18.9,Lewes,38.78000,-75.10000
1996,80.0,Lewes,38.78000,-75.10000
1997,70.0,Lewes,38.78000,-75.10000
1998,111.5,Lewes,38.78000,-75.10000
1999,65.3,Lewes,38.78000,-75.10000
2000,37.3,Lewes,38.78000,-75.10000
2001,45.8,Lewes,38.78000,-75.10000
2002,29.0,Lewes,38.78000,-75.10000
2003,71.2,Lewes,38.78000,-75.10000
2004,66.4,Lewes,38.78000,-75.10000
2005,126.1,Lewes,38.78000,-75.10000
2006,98.2,Lewes,38.78000,-75.10000
2007,51.3,Lewes,38.78000,-75.10000
2008,83.0,Lewes,38.78000,-75.10000
2009,140.5,Lewes,38.78000,-75.10000
2010,154.2,Lewes,38.78000,-75.10000
2011,151.2,Lewes,38.78000,-75.10000
2012,138.4,Lewes,38.78000,-75.10000
2013,111.1,Lewes,38.78000,-75.10000
2014,131.2,Lewes,38.78000,-75.10000
