year,level_norm,city,latitude,longtitude
1994,0.0,Cape May,38.97000,-74.97000
1995,37.5,Cape May,38.97000,-74.97000
1996,86.2,Cape May,38.97000,-74.97000
1997,76.4,Cape May,38.97000,-74.97000
1998,100.3,Cape May,38.97000,-74.97000
1999,60.7,Cape May,38.97000,-74.97000
2000,42.6,Cape May,38.97000,-74.97000
2001,51.3,Cape May,38.97000,-74.97000
2002,34.3,Cape May,38.97000,-74.97000
2003,97.4,Cape May,38.97000,-74.97000
2004,69.2,Cape May,38.97000,-74.97000
2005,127.1,Cape May,38.97000,-74.97000
2006,107.4,Cape May,38.97000,-74.97000
2007,73.0,Cape May,38.97000,-74.97000
2008,105.9,Cape May,38.97000,-74.97000
2009,149.2,Cape May,38.97000,-74.97000
2010,170.5,Cape May,38.97000,-74.97000
2011,147.3,Cape May,38.97000,-74.97000
2012,147.5,Cape May,38.97000,-74.97000
2013,119.4,Cape May,38.97000,-74.97000
2014,134.0,Cape May,38.97000,-74.97000
