year,level_norm,city,latitude,longtitude
1994,0.0,Atlantic City,39.35000,-74.42000
1995,28.5,Atlantic City,39.35000,-74.42000
1996,121.6,Atlantic City,39.35000,-74.42000
1997,108.4,Atlantic City,39.35000,-74.42000
1998,143.2,Atlantic City,39.35000,-74.42000
1999,97.2,Atlantic City,39.35000,-74.42000
2000,72.1,Atlantic City,39.35000,-74.42000
2001,92.8,Atlantic City,39.35000,-74.42000
2002,107.4,Atlantic City,39.35000,-74.42000
2003,88.6,Atlantic City,39.35000,-74.42000
2004,95.5,Atlantic City,39.35000,-74.42000
2005,151.3,Atlantic City,39.35000,-74.42000
2006,127.0,Atlantic City,39.35000,-74.42000
2007,92.1,Atlantic City,39.35000,-74.42000
2008,117.6,Atlantic City,39.35000,-74.42000
2009,162.4,Atlantic City,39.35000,-74.42000
2010,194.6,Atlantic City,39.35000,-74.42000
2011,184.7,Atlantic City,39.35000,-74.42000
2012,174.3,Atlantic City,39.35000,-74.42000
2013,124.4,Atlantic City,39.35000,-74.42000
2014,150.0,Atlantic City,39.35000,-74.42000
